ContractDaysOfServicePerYear;MepPersonnelIndicator;RecordEndDateTime;RecordStartDateTime;RefEmploymentStatusId;RefK12StaffClassificationId;SalaryForTeachingAssignmentOnlyIndicator;StaffCompensationBaseSalary;StaffCompensationHealthBenefits;StaffCompensationOtherBenefits;StaffCompensationRetirementBenefits;StaffCompensationTotalBenefits;StaffCompensationTotalSalary;TitleITargetedAssistanceStaffFunded;StaffEmploymentId
;;;;2;7;;;;;;;;;151566
;;;;2;3;;;;;;;;;151568
;;;;2;13;;;;;;;;;151570
;;;;2;3;;;;;;;;;151571
;;;;2;3;;;;;;;;;151573
;;;;2;3;;;;;;;;;151574
;;;;2;2;;;;;;;;;151576
;;;;2;3;;;;;;;;;151578
;;;;2;3;;;;;;;;;151579
;;;;2;3;;;;;;;;;151580
;;;;2;2;;;;;;;;;151581
;;;;2;3;;;;;;;;;151582
;;;;2;3;;;;;;;;;151583
;;;;2;3;;;;;;;;;151585
;;;;2;3;;;;;;;;;151586
;;;;2;3;;;;;;;;;151587
;;;;2;2;;;;;;;;;151591
;;;;2;2;;;;;;;;;151594
;;;;2;7;;;;;;;;;151596
;;;;2;2;;;;;;;;;1515102
;;;;2;2;;;;;;;;;1515109
;;;;2;7;;;;;;;;;1515111
;;;;2;3;;;;;;;;;1515115
;;;;2;3;;;;;;;;;1515116
;;;;2;7;;;;;;;;;1515118
;;;;2;3;;;;;;;;;1515120
;;;;2;3;;;;;;;;;1515121
;;;;2;2;;;;;;;;;1515122
;;;;2;3;;;;;;;;;1515123
;;;;2;3;;;;;;;;;1515124
;;;;2;7;;;;;;;;;1515125
;;;;2;3;;;;;;;;;1515126
;;;;2;7;;;;;;;;;1515128
;;;;2;7;;;;;;;;;1515129
;;;;2;7;;;;;;;;;1515130
;;;;2;7;;;;;;;;;1515133
;;;;2;3;;;;;;;;;1515134
;;;;2;7;;;;;;;;;1515136
;;;;2;7;;;;;;;;;1515137
;;;;2;3;;;;;;;;;1515138
;;;;2;3;;;;;;;;;1515139
;;;;2;3;;;;;;;;;1515140
;;;;2;3;;;;;;;;;1515141
;;;;2;7;;;;;;;;;1515142
;;;;2;7;;;;;;;;;1515143
;;;;2;7;;;;;;;;;1515144
;;;;2;7;;;;;;;;;1515145
;;;;2;7;;;;;;;;;1515146
;;;;2;3;;;;;;;;;1515147
;;;;2;7;;;;;;;;;1515148
;;;;2;3;;;;;;;;;1515149
;;;;2;3;;;;;;;;;1515150
;;;;2;2;;;;;;;;;1515151
;;;;2;8;;;;;;;;;1515152
;;;;2;7;;;;;;;;;1515153
;;;;2;7;;;;;;;;;1515154
;;;;2;3;;;;;;;;;1515155
;;;;2;3;;;;;;;;;1515156
