AccommodationList;AssessmentFormAdaptiveIndicator;AssessmentFormAlgorithmIdentifier;AssessmentFormAlgorithmVersion;AssessmentFormGUID;AssessmentItemBankIdentifier;AssessmentItemBankName;AssessmentSecureIndicator;FormNumber;IntendedAdministrationEndDate;IntendedAdministrationStartDate;LearningResourceId;Name;PlatformsSupported;PublishedDate;RecordEndDateTime;RecordStartDateTime;RefAssessmentLanguageId;Version;AssessmentFormId;AssessmentId
;;;;;;;;;2024-06-03;2024-06-03;;;;;;;;;353004566;101
;;;;;;;;;;;;;;;;;;;353004567;100
;;;;;;;;;;;;;;;;;;;353004568;100
;;;;;;;;;;;;;;;;;;;353004569;100
;;;;;;;;;;;;;;;;;;;353004570;101
;;;;;;;;;;;;;;;;;;;353004571;100
;;;;;;;;;;;;;;;;;;;353004572;100
;;;;;;;;;;;;;;;;;;;353004573;101
;;;;;;;;;;;;;;;;;;;353004574;101
;;;;;;;;;;;;;;;;;;;353004575;101
;;;;;;;;;;;;;;;;;;;353004576;101
;;;;;;;;;2024-04-30;2024-04-30;;;;;;;;;349004577;100
;;;;;;;;;2024-05-28;2024-05-28;;;;;;;;;349004578;100
;;;;;;;;;;;;;;;;;;;349004579;101
;;;;;;;;;2024-06-10;2024-06-10;;;;;;;;;349004580;101
;;;;;;;;;2024-05-10;2024-05-10;;;;;;;;;349004581;101
;;;;;;;;;2024-04-28;2024-04-28;;;;;;;;;349004582;100
;;;;;;;;;2024-06-17;2024-06-17;;;;;;;;;349004583;100
;;;;;;;;;;;;;;;;;;;349004584;101
;;;;;;;;;2024-05-19;2024-05-19;;;;;;;;;349004585;101
;;;;;;;;;2024-04-18;2024-04-18;;;;;;;;;357004586;100
;;;;;;;;;2024-05-17;2024-05-17;;;;;;;;;357004587;100
;;;;;;;;;2024-06-18;2024-06-18;;;;;;;;;357004588;101
;;;;;;;;;2024-04-30;2024-04-30;;;;;;;;;357004589;101
;;;;;;;;;2024-06-07;2024-06-07;;;;;;;;;357004590;101
;;;;;;;;;2024-05-01;2024-05-01;;;;;;;;;357004591;100
;;;;;;;;;2024-06-03;2024-06-03;;;;;;;;;357004592;100
;;;;;;;;;2024-06-07;2024-06-07;;;;;;;;;357004593;101
;;;;;;;;;2024-06-07;2024-06-07;;;;;;;;;357004594;101
;;;;;;;;;2024-04-19;2024-04-19;;;;;;;;;358004595;100
;;;;;;;;;2024-05-17;2024-05-17;;;;;;;;;358004596;100
;;;;;;;;;;;;;;;;;;;358004597;101
;;;;;;;;;2024-04-30;2024-04-30;;;;;;;;;358004598;101
;;;;;;;;;2024-05-24;2024-05-24;;;;;;;;;358004599;101
;;;;;;;;;2024-05-24;2024-05-24;;;;;;;;;358004600;100
;;;;;;;;;2024-05-31;2024-05-31;;;;;;;;;358004601;100
;;;;;;;;;;;;;;;;;;;358004602;101
;;;;;;;;;;;;;;;;;;;358004603;101
;;;;;;;;;2024-04-18;2024-04-18;;;;;;;;;359004604;100
;;;;;;;;;2024-05-17;2024-05-17;;;;;;;;;359004605;100
;;;;;;;;;2024-06-07;2024-06-07;;;;;;;;;359004606;101
;;;;;;;;;2024-04-30;2024-04-30;;;;;;;;;359004607;101
;;;;;;;;;2024-06-07;2024-06-07;;;;;;;;;359004608;101
;;;;;;;;;2024-05-03;2024-05-03;;;;;;;;;359004609;100
;;;;;;;;;2024-06-06;2024-06-06;;;;;;;;;359004610;100
;;;;;;;;;2024-06-07;2024-06-07;;;;;;;;;359004611;101
;;;;;;;;;2024-06-07;2024-06-07;;;;;;;;;359004612;101
;;;;;;;;;2024-04-18;2024-04-18;;;;;;;;;360004613;100
;;;;;;;;;2024-05-17;2024-05-17;;;;;;;;;360004614;100
;;;;;;;;;2024-06-14;2024-06-14;;;;;;;;;360004615;101
;;;;;;;;;2024-04-30;2024-04-30;;;;;;;;;360004616;101
;;;;;;;;;2024-06-07;2024-06-07;;;;;;;;;360004617;101
;;;;;;;;;2024-05-03;2024-05-03;;;;;;;;;360004618;100
;;;;;;;;;2024-06-07;2024-06-07;;;;;;;;;360004619;100
;;;;;;;;;2024-06-07;2024-06-07;;;;;;;;;360004620;101
;;;;;;;;;2024-06-06;2024-06-06;;;;;;;;;360004621;101
