AvailableCarnegieUnitCredit;OrganizationCalendarSessionId;RecordEndDateTime;RecordStartDateTime;RefAdditionalCreditTypeId;RefAdvancedPlacementCourseCodeId;RefCourseSectionDeliveryModeId;RefCreditTypeEarnedId;RefInstructionLanguageId;RefSingleSexClassStatusId;RelatedCompetencyFrameworkItems;TimeRequiredForCompletion;VirtualIndicator;CourseId;MaximumCapacity;OrganizationId
;;;;;;7;;;3;;;0;110;45;114
;;;;;;7;;;3;;;0;110;45;112
;;;;;;7;;;3;;;0;110;45;113
;;;;;;7;;;3;;;0;110;45;111
;;;;;;7;;;3;;;0;110;45;115
;;;;;;7;;;3;;;0;124;45;125
;;;;;;7;;;3;;;0;124;45;126
;;;;;;7;;;3;;;0;124;45;127
;;;;;;7;;;3;;;0;129;45;130
;;;;;;7;;;3;;;0;129;45;134
;;;;;;7;;;3;;;0;129;45;132
;;;;;;7;;;3;;;0;129;45;136
;;;;;;7;;;3;;;0;129;45;131
;;;;;;7;;;3;;;0;129;45;133
;;;;;;7;;;3;;;0;129;45;135
;;;;;;7;;;3;;;0;129;45;137
;;;;;;7;;;3;;;0;129;45;138
;;;;;;7;;;3;;;0;129;45;139
;;;;;;7;;;3;;;0;141;45;142
;;;;;;7;;;3;;;0;141;45;143
;;;;;;7;;;3;;;0;141;45;144
;;;;;;7;;;3;;;0;162;45;163
;;;;;;7;;;3;;;0;162;45;168
;;;;;;7;;;3;;;0;162;45;169
;;;;;;7;;;3;;;0;162;45;170
;;;;;;7;;;3;;;0;162;45;167
;;;;;;7;;;3;;;0;162;45;165
;;;;;;7;;;3;;;0;162;45;171
;;;;;;7;;;3;;;0;162;45;166
;;;;;;7;;;3;;;0;162;45;164
;;;;;;7;;;3;;;0;179;45;180
;;;;;;7;;;3;;;0;179;45;181
;;;;;;7;;;3;;;0;179;45;182
;;;;;;7;;;3;;;0;179;45;183
;;;;;;7;;;3;;;0;179;45;184
;;;;;;7;;;3;;;0;179;45;185
;;;;;;7;;;3;;;0;179;45;186
;;;;;;7;;;3;;;0;179;45;187
;;;;;;7;;;3;;;0;179;45;188
;;;;;;7;;;3;;;0;179;45;189
;;;;;;7;;;3;;;0;179;45;190
;;;;;;7;;;3;;;0;179;45;191
;;;;;;7;;;3;;;0;193;45;197
;;;;;;7;;;3;;;0;193;45;199
;;;;;;7;;;3;;;0;193;45;200
;;;;;;7;;;3;;;0;193;45;201
;;;;;;7;;;3;;;0;193;45;202
;;;;;;7;;;3;;;0;193;45;203
;;;;;;7;;;3;;;0;193;45;195
;;;;;;7;;;3;;;0;193;45;198
;;;;;;7;;;3;;;0;193;45;196
;;;;;;7;;;3;;;0;193;45;194
;;;;;;7;;;3;;;0;207;45;210
;;;;;;7;;;3;;;0;207;45;211
;;;;;;7;;;3;;;0;207;45;212
;;;;;;7;;;3;;;0;207;45;216
;;;;;;7;;;3;;;0;207;45;213
;;;;;;7;;;3;;;0;207;45;214
;;;;;;7;;;3;;;0;207;45;209
;;;;;;7;;;3;;;0;207;45;215
;;;;;;7;;;3;;;0;207;45;208
;;;;;;7;;;3;;;0;218;45;227
;;;;;;7;;;3;;;0;218;45;221
;;;;;;7;;;3;;;0;218;45;222
;;;;;;7;;;3;;;0;218;45;223
;;;;;;7;;;3;;;0;218;45;225
;;;;;;7;;;3;;;0;218;45;226
;;;;;;7;;;3;;;0;218;45;219
;;;;;;7;;;3;;;0;218;45;220
;;;;;;7;;;3;;;0;218;45;224
;;;;;;7;;;3;;;0;229;45;232
;;;;;;7;;;3;;;0;229;45;233
;;;;;;7;;;3;;;0;229;45;234
;;;;;;7;;;3;;;0;229;45;236
;;;;;;7;;;3;;;0;229;45;237
;;;;;;7;;;3;;;0;229;45;231
;;;;;;7;;;3;;;0;229;45;230
;;;;;;7;;;3;;;0;229;45;235
;;;;;;7;;;3;;;0;239;45;247
;;;;;;7;;;3;;;0;239;45;242
;;;;;;7;;;3;;;0;239;45;243
;;;;;;7;;;3;;;0;239;45;244
;;;;;;7;;;3;;;0;239;45;245
;;;;;;7;;;3;;;0;239;45;246
;;;;;;7;;;3;;;0;239;45;240
;;;;;;7;;;3;;;0;239;45;241
;;;;;;7;;;3;;;0;249;45;257
;;;;;;7;;;3;;;0;249;45;250
;;;;;;7;;;3;;;0;249;45;255
;;;;;;7;;;3;;;0;249;45;251
;;;;;;7;;;3;;;0;249;45;252
;;;;;;7;;;3;;;0;249;45;253
;;;;;;7;;;3;;;0;249;45;254
;;;;;;7;;;3;;;0;249;45;256
;;;;;;7;;;3;;;0;259;45;260
;;;;;;7;;;3;;;0;259;45;268
;;;;;;7;;;3;;;0;259;45;271
;;;;;;7;;;3;;;0;259;45;267
;;;;;;7;;;3;;;0;259;45;261
;;;;;;7;;;3;;;0;259;45;263
;;;;;;7;;;3;;;0;259;45;264
;;;;;;7;;;3;;;0;259;45;269
;;;;;;7;;;3;;;0;259;45;270
;;;;;;7;;;3;;;0;259;45;265
;;;;;;7;;;3;;;0;259;45;266
;;;;;;7;;;3;;;0;259;45;262
;;;;;;7;;;3;;;0;272;45;273
;;;;;;7;;;3;;;0;272;45;274
;;;;;;7;;;3;;;0;272;45;275
;;;;;;7;;;3;;;0;272;45;276
;;;;;;7;;;3;;;0;272;45;277
;;;;;;7;;;3;;;0;272;45;278
;;;;;;7;;;3;;;0;272;45;279
;;;;;;7;;;3;;;0;272;45;280
;;;;;;7;;;3;;;0;272;45;281
;;;;;;7;;;3;;;0;272;45;282
;;;;;;7;;;3;;;0;272;45;283
;;;;;;7;;;3;;;0;285;45;294
;;;;;;7;;;3;;;0;285;45;292
;;;;;;7;;;3;;;0;285;45;296
;;;;;;7;;;3;;;0;285;45;291
;;;;;;7;;;3;;;0;285;45;286
;;;;;;7;;;3;;;0;285;45;287
;;;;;;7;;;3;;;0;285;45;288
;;;;;;7;;;3;;;0;285;45;295
;;;;;;7;;;3;;;0;285;45;289
;;;;;;7;;;3;;;0;285;45;290
;;;;;;7;;;3;;;0;285;45;293
;;;;;;7;;;3;;;0;297;45;306
;;;;;;7;;;3;;;0;297;45;305
;;;;;;7;;;3;;;0;297;45;304
;;;;;;7;;;3;;;0;297;45;299
;;;;;;7;;;3;;;0;297;45;300
;;;;;;7;;;3;;;0;297;45;301
;;;;;;7;;;3;;;0;297;45;308
;;;;;;7;;;3;;;0;297;45;302
;;;;;;7;;;3;;;0;297;45;303
;;;;;;7;;;3;;;0;297;45;298
;;;;;;7;;;3;;;0;297;45;307
;;;;;;7;;;3;;;0;310;45;312
;;;;;;7;;;3;;;0;310;45;314
;;;;;;7;;;3;;;0;310;45;315
;;;;;;7;;;3;;;0;310;45;316
;;;;;;7;;;3;;;0;310;45;317
;;;;;;7;;;3;;;0;310;45;318
;;;;;;7;;;3;;;0;310;45;319
;;;;;;7;;;3;;;0;310;45;311
;;;;;;7;;;3;;;0;310;45;313
;;;;;;7;;;3;;;0;310;45;320
;;;;;;7;;;3;;;0;310;45;321
;;;;;;7;;;3;;;0;329;45;338
;;;;;;7;;;3;;;0;329;45;330
;;;;;;7;;;3;;;0;329;45;333
;;;;;;7;;;3;;;0;329;45;336
;;;;;;7;;;3;;;0;329;45;334
;;;;;;7;;;3;;;0;329;45;335
;;;;;;7;;;3;;;0;329;45;331
;;;;;;7;;;3;;;0;329;45;332
;;;;;;7;;;3;;;0;329;45;337
;;;;;;7;;;3;;;0;329;45;339
;;;;;;7;;;3;;;0;341;45;342
;;;;;;7;;;3;;;0;341;45;344
;;;;;;7;;;3;;;0;341;45;345
;;;;;;7;;;3;;;0;341;45;351
;;;;;;7;;;3;;;0;341;45;346
;;;;;;7;;;3;;;0;341;45;347
;;;;;;7;;;3;;;0;341;45;348
;;;;;;7;;;3;;;0;341;45;349
;;;;;;7;;;3;;;0;341;45;343
;;;;;;7;;;3;;;0;341;45;350
;;;;;;7;;;3;;;0;341;45;352
;;;;;;7;;;3;;;0;354;45;355
;;;;;;7;;;3;;;0;354;45;364
;;;;;;7;;;3;;;0;354;45;356
;;;;;;7;;;3;;;0;354;45;357
;;;;;;7;;;3;;;0;354;45;362
;;;;;;7;;;3;;;0;354;45;358
;;;;;;7;;;3;;;0;354;45;359
;;;;;;7;;;3;;;0;354;45;363
;;;;;;7;;;3;;;0;354;45;360
;;;;;;7;;;3;;;0;354;45;361
