Abbreviation;AssessmentFormId;ChildOf_AssessmentSubtestId;ContainerOnly;Description;Identifier;MaximumValue;MinimumValue;OptimalValue;PublishedDate;RecordEndDateTime;RecordStartDateTime;RefAcademicSubjectId;RefAssessmentPurposeId;RefAssessmentSubtestIdentifierTypeId;RefContentStandardTypeId;RefScoreMetricTypeId;Rules;Tier;Title;Version;AssessmentSubtestId
;353004566;;;Dominio Lector;;70;10;;;;;;;;7;;;;;;35310704566
;353004567;;;Plan Lector Abril;;70;10;;;;;;;;7;;;;;;35310704567
;353004568;;;Plan lector Mayo;;70;10;;;;;;;;7;;;;;;35310704568
;353004569;;;Plan lector Junio;;70;10;;;;;;;;7;;;;;;35310704569
;353004570;;;Promedio Plan Lector;;70;10;;;;;;;;7;;;;;;35310704570
;353004571;;;Evaluación Comprensión Lectora Abril;;70;10;;;;;;;;7;;;;;;35310704571
;353004572;;;Evaluación Comprensión Lectora Mayo;;70;10;;;;;;;;7;;;;;;35310704572
;353004573;;;Promedio comprensión Lectora;;70;10;;;;;;;;7;;;;;;35310704573
;353004574;;;Dictados;;70;10;;;;;;;;7;;;;;;35310704574
;353004575;;;Trabajo De escritura (Leo Primero);;70;10;;;;;;;;7;;;;;;35310704575
;353004576;;;Oralidad;;70;10;;;;;;;;7;;;;;;35310704576
;349004577;;;Plan lector Abril;;70;10;;;;;;;;7;;;;;;34910704577
;349004578;;;Plan lector Mayo;;70;10;;;;;;;;7;;;;;;34910704578
;349004579;;;Promedio Plan lector;;70;10;;;;;;;;7;;;;;;34910704579
;349004580;;;Dominio lector;;70;10;;;;;;;;7;;;;;;34910704580
;349004581;;;Dictados;;70;10;;;;;;;;7;;;;;;34910704581
;349004582;;;Evaluación de unidad abril;;70;10;;;;;;;;7;;;;;;34910704582
;349004583;;;Evaluación de unidad junio;;70;10;;;;;;;;7;;;;;;34910704583
;349004584;;;Promedio evaluaciones de unidad;;70;10;;;;;;;;7;;;;;;34910704584
;349004585;;;Oralidad;;70;10;;;;;;;;7;;;;;;34910704585
;357004586;;;Lectura complementaria 1;;70;10;;;;;;;;7;;;;;;35710704586
;357004587;;;Lectura complementaria 2;;70;10;;;;;;;;7;;;;;;35710704587
;357004588;;;Promedio lecturas complementarias ;;70;10;;;;;;;;7;;;;;;35710704588
;357004589;;;Unidad 1;;70;10;;;;;;;;7;;;;;;35710704589
;357004590;;;Unidad 2;;70;10;;;;;;;;7;;;;;;35710704590
;357004591;;;Trabajo escrito;;70;10;;;;;;;;7;;;;;;35710704591
;357004592;;;trabajo escrito religión ;;70;10;;;;;;;;7;;;;;;35710704592
;357004593;;;Promedio trabajos escritos;;70;10;;;;;;;;7;;;;;;35710704593
;357004594;;;Dominio lector;;70;10;;;;;;;;7;;;;;;35710704594
;358004595;;;Lectura complementaria n°1;;70;10;;;;;;;;7;;;;;;35810704595
;358004596;;;Lectura complementaria n°2;;70;10;;;;;;;;7;;;;;;35810704596
;358004597;;;Promedio lecturas complementarias;;70;10;;;;;;;;7;;;;;;35810704597
;358004598;;;Unidad n°1;;70;10;;;;;;;;7;;;;;;35810704598
;358004599;;;Unidad n°2;;70;10;;;;;;;;7;;;;;;35810704599
;358004600;;;Trabajo escrito;;70;10;;;;;;;;7;;;;;;35810704600
;358004601;;;Trabajo escrito Religión;;70;10;;;;;;;;7;;;;;;35810704601
;358004602;;;Promedios trabajos escritos;;70;10;;;;;;;;7;;;;;;35810704602
;358004603;;;Dominio lector;;70;10;;;;;;;;7;;;;;;35810704603
;359004604;;;Lectura complementaria n°1;;70;10;;;;;;;;7;;;;;;35910704604
;359004605;;;Lectura complementaria n°2;;70;10;;;;;;;;7;;;;;;35910704605
;359004606;;;Promedio lecturas complementarias;;70;10;;;;;;;;7;;;;;;35910704606
;359004607;;;Unidad n°1;;70;10;;;;;;;;7;;;;;;35910704607
;359004608;;;Unidad n°2;;70;10;;;;;;;;7;;;;;;35910704608
;359004609;;;Trabajo escrito;;70;10;;;;;;;;7;;;;;;35910704609
;359004610;;;Trabajo escrito Religión;;70;10;;;;;;;;7;;;;;;35910704610
;359004611;;;Promedios trabajos escritos;;70;10;;;;;;;;7;;;;;;35910704611
;359004612;;;Dominio lector;;70;10;;;;;;;;7;;;;;;35910704612
;360004613;;;Lectura complementaria n°1 ;;70;10;;;;;;;;7;;;;;;36010704613
;360004614;;;Lectura complementaria;;70;10;;;;;;;;7;;;;;;36010704614
;360004615;;;Promedio lecturas complementarias;;70;10;;;;;;;;7;;;;;;36010704615
;360004616;;;Unidad n°1;;70;10;;;;;;;;7;;;;;;36010704616
;360004617;;;Unidad n°2;;70;10;;;;;;;;7;;;;;;36010704617
;360004618;;;Trabajo escrito;;70;10;;;;;;;;7;;;;;;36010704618
;360004619;;;Trabajo escrito Religión;;70;10;;;;;;;;7;;;;;;36010704619
;360004620;;;Promedio trabajos escritos;;70;10;;;;;;;;7;;;;;;36010704620
;360004621;;;Dominio Lector;;70;10;;;;;;;;7;;;;;;36010704621
;349004622;;;DESARROLLO DE HABILIDADES MOTORAS DE LOCOMOCION, MANIPULACION Y ESTABILIDAD;;70;10;;;;;;;;7;;;;;;34910704622
;349004623;;;H.M.B-COORDINACION EN DISTINTO TIPOS DE EJERCICIOS;;70;10;;;;;;;;7;;;;;;34910704623
;349004627;;;Basurero reciclado;;70;10;;;;;;;;7;;;;;;34910704627
;349004631;;;Bordado en goma eva;;70;10;;;;;;;;7;;;;;;34910704631
;349004632;;;OA 1 Bordado en goma eva;;70;10;;;;;;;;7;;;;;;34910704632
;349004633;;;OA 5 Collage con hojas de árboles;;70;10;;;;;;;;7;;;;;;34910704633
;355004634;;;dominio lector;;70;10;;;;;;;;7;;;;;;35510704634
;355004635;;;plan lector mes de abril PRUEBA;;70;10;;;;;;;;7;;;;;;35510704635
;355004636;;;plan lector mes de mayo FICHA LECTORA;;70;10;;;;;;;;7;;;;;;35510704636
;355004637;;;plan lector mes de junio TRIPTICO;;70;10;;;;;;;;7;;;;;;35510704637
;355004638;;;sumativa plan lector;;70;10;;;;;;;;7;;;;;;35510704638
;355004639;;;ensayo simce 1;;70;10;;;;;;;;7;;;;;;35510704639
;355004640;;;ensayo simce 2;;70;10;;;;;;;;7;;;;;;35510704640
;355004641;;;ensayo simce 3;;70;10;;;;;;;;7;;;;;;35510704641
;355004642;;;sumativa SIMCE;;70;10;;;;;;;;7;;;;;;35510704642
;355004643;;;Escritura1: versiculos biblicos ;;70;10;;;;;;;;7;;;;;;35510704643
;355004644;;;Escritura 2: ARTICULADO RELIGION ;;70;10;;;;;;;;7;;;;;;35510704644
;355004645;;;Oralidad: Disertación Incas;;70;10;;;;;;;;7;;;;;;35510704645
;357004646;;;oralidad versiculo biblico ;;70;10;;;;;;;;7;;;;;;35710704646
;358004647;;;Oralidad versículo bíblico;;70;10;;;;;;;;7;;;;;;35810704647
;359004648;;;Oralidad versículo bíblico;;70;10;;;;;;;;7;;;;;;35910704648
;360004649;;;Oralidad versículo bíblico;;70;10;;;;;;;;7;;;;;;36010704649
;351004650;;;Zapato de cartón ;;70;10;;;;;;;;7;;;;;;35110704650
;351004651;;;Jarro pato ;;70;10;;;;;;;;7;;;;;;35110704651
;351004652;;;Telar ;;70;10;;;;;;;;7;;;;;;35110704652
;355004653;;;MUSICA: ALABANZA TODO OJO LE VERA;;70;10;;;;;;;;7;;;;;;35510704653
;355004654;;;ARTES: PAISAJE NATURAL TECNICA LAPIZ SCRIPTO;;70;10;;;;;;;;7;;;;;;35510704654
;355004655;;;ARTES:Cuadro ARTISTICO DIA DE LA MAMA;;70;10;;;;;;;;7;;;;;;35510704655
;349004656;;;Unidad1 : Colores  y  números;;70;10;;;;;;;;7;;;;;;34910704656
;349004657;;;Unidad 2;;70;10;;;;;;;;7;;;;;;34910704657
;349004658;;;album animals ;;70;10;;;;;;;;7;;;;;;34910704658
;349004659;;;cuadernos ;;70;10;;;;;;;;7;;;;;;34910704659
;351004660;;;unidad 1;;70;10;;;;;;;;7;;;;;;35110704660
;351004661;;;Presentación oral  my favoriteanimal;;70;10;;;;;;;;7;;;;;;35110704661
;351004662;;;Álbum my house;;70;10;;;;;;;;7;;;;;;35110704662
;351004663;;;Cuadernos  y tareas;;70;10;;;;;;;;7;;;;;;35110704663
;353004664;;;Unidad 1   Animales salvajes Prueba escrita ;;70;10;;;;;;;;7;;;;;;35310704664
;355004667;;;"Unidad 1 ""My house""";;70;10;;;;;;;;7;;;;;;35510704667
;355004668;;;Evaluación oral Feellings and emotions ;;70;10;;;;;;;;7;;;;;;35510704668
;355004669;;;álbum medios de transporte ;;70;10;;;;;;;;7;;;;;;35510704669
;355004670;;;Cuadernos  y tareas ;;70;10;;;;;;;;7;;;;;;35510704670
;357004672;;;Puntillismo;;70;10;;;;;;;;7;;;;;;35710704672
;357004673;;;Reproducción de  una  obra contemporánea ;;70;10;;;;;;;;7;;;;;;35710704673
;357004674;;;Técnica en perspectiva;;70;10;;;;;;;;7;;;;;;35710704674
;357004675;;;Luz  y sombra;;70;10;;;;;;;;7;;;;;;35710704675
;358004676;;;Puntillismo;;70;10;;;;;;;;7;;;;;;35810704676
;358004677;;;Reproducción de una obra  contemporánea;;70;10;;;;;;;;7;;;;;;35810704677
;358004678;;;Técnica en perspectiva;;70;10;;;;;;;;7;;;;;;35810704678
;358004679;;;Luz y sombra;;70;10;;;;;;;;7;;;;;;35810704679
;357004680;;;Unidad 1 Lugares de la ciudad;;70;10;;;;;;;;7;;;;;;35710704680
