CalendarCode;CalendarYear;RecordEndDateTime;RecordStartDateTime;CalendarDescription;OrganizationCalendarId;OrganizationId
1;2024;;;1er Semestre;339500189;110
2;2024;;;2do Semestre;339500190;110
1;2024;;;1er Semestre;340500191;124
2;2024;;;2do Semestre;340500192;124
1;2024;;;1er Semestre;341500193;129
2;2024;;;2do Semestre;341500194;129
1;2024;;;1er Semestre;342500195;141
2;2024;;;2do Semestre;342500196;141
1;2024;;;1er Semestre;343500177;146
2;2024;;;2do Semestre;343500178;146
1;2024;;;1er Semestre;344500179;147
2;2024;;;2do Semestre;344500180;147
1;2024;;;1er Semestre;345500181;149
2;2024;;;2do Semestre;345500182;149
1;2024;;;1er Semestre;346500183;150
2;2024;;;2do Semestre;346500184;150
1;2024;;;1er Semestre;347500185;152
2;2024;;;2do Semestre;347500186;152
1;2024;;;1er Semestre;348500187;153
2;2024;;;2do Semestre;348500188;153
1;2024;;;1er Semestre;349500197;162
2;2024;;;2do Semestre;349500198;162
1;2024;;;1er Semestre;350500199;179
2;2024;;;2do Semestre;350500200;179
1;2024;;;1er Semestre;351500201;193
2;2024;;;2do Semestre;351500202;193
1;2024;;;1er Semestre;352500203;207
2;2024;;;2do Semestre;352500204;207
1;2024;;;1er Semestre;353500205;218
2;2024;;;2do Semestre;353500206;218
1;2024;;;1er Semestre;354500207;229
2;2024;;;2do Semestre;354500208;229
1;2024;;;1er Semestre;355500209;239
2;2024;;;2do Semestre;355500210;239
1;2024;;;1er Semestre;356500211;249
2;2024;;;2do Semestre;356500212;249
1;2024;;;1er Semestre;357500213;259
2;2024;;;2do Semestre;357500214;259
1;2024;;;1er Semestre;358500215;272
2;2024;;;2do Semestre;358500216;272
1;2024;;;1er Semestre;359500217;285
2;2024;;;2do Semestre;359500218;285
1;2024;;;1er Semestre;360500219;297
2;2024;;;2do Semestre;360500220;297
1;2024;;;1er Semestre;361500221;310
2;2024;;;2do Semestre;361500222;310
1;2024;;;1er Semestre;362500223;329
2;2024;;;2do Semestre;362500224;329
1;2024;;;1er Semestre;363500225;341
2;2024;;;2do Semestre;363500226;341
1;2024;;;1er Semestre;364500227;354
2;2024;;;2do Semestre;364500228;354
1;2024;;;1er Semestre;365500229;365
2;2024;;;2do Semestre;365500230;365
32962;2024;;;clase fecha: 2024-03-06;10032962;345
32963;2024;;;clase fecha: 2024-03-06;10032963;345
32964;2024;;;clase fecha: 2024-03-06;10032964;278
32965;2024;;;clase fecha: 2024-03-06;10032965;278
32966;2024;;;clase fecha: 2024-03-05;10032966;278
32967;2024;;;clase fecha: 2024-03-05;10032967;278
32968;2024;;;clase fecha: 2024-03-05;10032968;301
32969;2024;;;clase fecha: 2024-03-05;10032969;301
32970;2024;;;clase fecha: 2024-03-07;10032970;288
32971;2024;;;clase fecha: 2024-03-07;10032971;288
32972;2024;;;clase fecha: 2024-03-06;10032972;315
32973;2024;;;clase fecha: 2024-03-06;10032973;264
32974;2024;;;clase fecha: 2024-03-07;10032974;273
32975;2024;;;clase fecha: 2024-03-06;10032975;264
32976;2024;;;clase fecha: 2024-03-06;10032976;295
32977;2024;;;clase fecha: 2024-03-06;10032977;293
32978;2024;;;clase fecha: 2024-03-07;10032978;283
32979;2024;;;clase fecha: 2024-03-07;10032979;268
32980;2024;;;clase fecha: 2024-03-07;10032980;268
32981;2024;;;clase fecha: 2024-03-07;10032981;264
32982;2024;;;clase fecha: 2024-03-07;10032982;264
32983;2024;;;clase fecha: 2024-03-07;10032983;299
32984;2024;;;clase fecha: 2024-03-07;10032984;312
32985;2024;;;clase fecha: 2024-03-07;10032985;292
32986;2024;;;clase fecha: 2024-03-07;10032986;314
32987;2024;;;clase fecha: 2024-03-07;10032987;314
32988;2024;;;clase fecha: 2024-03-07;10032988;312
32989;2024;;;clase fecha: 2024-03-07;10032989;343
32990;2024;;;clase fecha: 2024-03-07;10032990;343
32991;2024;;;clase fecha: 2024-03-07;10032991;313
32992;2024;;;clase fecha: 2024-03-07;10032992;313
32993;2024;;;clase fecha: 2024-03-07;10032993;345
32994;2024;;;clase fecha: 2024-03-07;10032994;345
32995;2024;;;clase fecha: 2024-03-07;10032995;292
32997;2024;;;clase fecha: 2024-03-07;10032997;276
32998;2024;;;clase fecha: 2024-03-07;10032998;276
32999;2024;;;clase fecha: 2024-03-07;10032999;306
33000;2024;;;clase fecha: 2024-03-07;10033000;302
33002;2024;;;clase fecha: 2024-03-05;10033002;305
33003;2024;;;clase fecha: 2024-03-05;10033003;305
33004;2024;;;clase fecha: 2024-03-05;10033004;342
33005;2024;;;clase fecha: 2024-03-05;10033005;342
33006;2024;;;clase fecha: 2024-03-05;10033006;270
33007;2024;;;clase fecha: 2024-03-05;10033007;163
33008;2024;;;clase fecha: 2024-03-05;10033008;163
33009;2024;;;clase fecha: 2024-03-05;10033009;166
33010;2024;;;clase fecha: 2024-03-06;10033010;168
33011;2024;;;clase fecha: 2024-03-06;10033011;168
33012;2024;;;clase fecha: 2024-03-06;10033012;163
33013;2024;;;clase fecha: 2024-03-06;10033013;163
33014;2024;;;clase fecha: 2024-03-06;10033014;169
33015;2024;;;clase fecha: 2024-03-06;10033015;195
33016;2024;;;clase fecha: 2024-03-07;10033016;168
33017;2024;;;clase fecha: 2024-03-07;10033017;168
33018;2024;;;clase fecha: 2024-03-07;10033018;166
33019;2024;;;clase fecha: 2024-03-07;10033019;166
33020;2024;;;clase fecha: 2024-03-07;10033020;244
33021;2024;;;clase fecha: 2024-03-07;10033021;244
33022;2024;;;clase fecha: 2024-03-07;10033022;241
33023;2024;;;clase fecha: 2024-03-07;10033023;241
33024;2024;;;clase fecha: 2024-03-07;10033024;240
33025;2024;;;clase fecha: 2024-03-07;10033025;240
33026;2024;;;clase fecha: 2024-03-07;10033026;349
33027;2024;;;clase fecha: 2024-03-07;10033027;349
33028;2024;;;clase fecha: 2024-03-07;10033028;291
33029;2024;;;clase fecha: 2024-03-07;10033029;291
33030;2024;;;clase fecha: 2024-03-07;10033030;200
33031;2024;;;clase fecha: 2024-03-07;10033031;200
33032;2024;;;clase fecha: 2024-03-07;10033032;201
33033;2024;;;clase fecha: 2024-03-07;10033033;201
33034;2024;;;clase fecha: 2024-03-07;10033034;165
33035;2024;;;clase fecha: 2024-03-07;10033035;222
33036;2024;;;clase fecha: 2024-03-07;10033036;165
33037;2024;;;clase fecha: 2024-03-07;10033037;198
33038;2024;;;clase fecha: 2024-03-07;10033038;198
33039;2024;;;clase fecha: 2024-03-07;10033039;227
33040;2024;;;clase fecha: 2024-03-05;10033040;198
33041;2024;;;clase fecha: 2024-03-05;10033041;198
33042;2024;;;clase fecha: 2024-03-05;10033042;202
33043;2024;;;clase fecha: 2024-03-05;10033043;202
33044;2024;;;clase fecha: 2024-03-06;10033044;200
33045;2024;;;clase fecha: 2024-03-06;10033045;200
33046;2024;;;clase fecha: 2024-03-06;10033046;201
33047;2024;;;clase fecha: 2024-03-06;10033047;201
33048;2024;;;clase fecha: 2024-03-06;10033048;202
33049;2024;;;clase fecha: 2024-03-06;10033049;243
33050;2024;;;clase fecha: 2024-03-06;10033050;243
33051;2024;;;clase fecha: 2024-03-06;10033051;244
33052;2024;;;clase fecha: 2024-03-06;10033052;244
33053;2024;;;clase fecha: 2024-03-05;10033053;244
33054;2024;;;clase fecha: 2024-03-05;10033054;244
33055;2024;;;clase fecha: 2024-03-05;10033055;243
33056;2024;;;clase fecha: 2024-03-05;10033056;243
33057;2024;;;clase fecha: 2024-03-05;10033057;241
33058;2024;;;clase fecha: 2024-03-05;10033058;241
33059;2024;;;clase fecha: 2024-03-05;10033059;240
33060;2024;;;clase fecha: 2024-03-06;10033060;342
33061;2024;;;clase fecha: 2024-03-06;10033061;262
33062;2024;;;clase fecha: 2024-03-08;10033062;274
33063;2024;;;clase fecha: 2024-03-08;10033063;245
33064;2024;;;clase fecha: 2024-03-08;10033064;319
33065;2024;;;clase fecha: 2024-03-08;10033065;242
33066;2024;;;clase fecha: 2024-03-08;10033066;261
33067;2024;;;clase fecha: 2024-03-08;10033067;261
33068;2024;;;clase fecha: 2024-03-08;10033068;290
33069;2024;;;clase fecha: 2024-03-08;10033069;290
33070;2024;;;clase fecha: 2024-03-08;10033070;300
33071;2024;;;clase fecha: 2024-03-08;10033071;266
33072;2024;;;clase fecha: 2024-03-08;10033072;266
33073;2024;;;clase fecha: 2024-03-08;10033073;279
33074;2024;;;clase fecha: 2024-03-08;10033074;246
33075;2024;;;clase fecha: 2024-03-08;10033075;246
33076;2024;;;clase fecha: 2024-03-08;10033076;347
33077;2024;;;clase fecha: 2024-03-08;10033077;283
33078;2024;;;clase fecha: 2024-03-08;10033078;283
33079;2024;;;clase fecha: 2024-03-08;10033079;347
33080;2024;;;clase fecha: 2024-03-08;10033080;288
33081;2024;;;clase fecha: 2024-03-08;10033081;288
33082;2024;;;clase fecha: 2024-03-08;10033082;318
33083;2024;;;clase fecha: 2024-03-08;10033083;305
33084;2024;;;clase fecha: 2024-03-08;10033084;312
33085;2024;;;clase fecha: 2024-03-06;10033085;282
33086;2024;;;clase fecha: 2024-03-06;10033086;282
33087;2024;;;clase fecha: 2024-03-06;10033087;303
33088;2024;;;clase fecha: 2024-03-06;10033088;303
33089;2024;;;clase fecha: 2024-03-08;10033089;280
33090;2024;;;clase fecha: 2024-03-08;10033090;301
33091;2024;;;clase fecha: 2024-03-08;10033091;301
33092;2024;;;clase fecha: 2024-03-08;10033092;294
33093;2024;;;clase fecha: 2024-03-05;10033093;263
33094;2024;;;clase fecha: 2024-03-07;10033094;307
33095;2024;;;clase fecha: 2024-03-08;10033095;267
33096;2024;;;clase fecha: 2024-03-08;10033096;317
33097;2024;;;clase fecha: 2024-03-08;10033097;308
33098;2024;;;clase fecha: 2024-03-08;10033098;281
33099;2024;;;clase fecha: 2024-03-05;10033099;170
33100;2024;;;clase fecha: 2024-03-05;10033100;170
33101;2024;;;clase fecha: 2024-03-05;10033101;203
