IncidentCost;IncidentDate;IncidentDescription;IncidentIdentifier;IncidentReporterId;IncidentTime;OrganizationPersonRoleId;RecordEndDateTime;RecordStartDateTime;RefFirearmTypeId;RefIncidentBehaviorId;RefIncidentBehaviorSecondaryId;RefIncidentInjuryTypeId;RefIncidentLocationId;RefIncidentMultipleOffenseTypeId;RefIncidentPerpetratorInjuryTypeId;RefIncidentReporterTypeId;RefIncidentTimeDescriptionCodeId;RefWeaponTypeId;RegulationViolatedDescription;RelatedToDisabilityManifestationInd;OrganizationId;ReportedToLawEnforcementInd;IncidentId
;2024-03-11;Alumno que mantiene limpia la sala.;;;12:20 PM;;;;;34;;;1;;;7;;;;;299;;11113061
;2024-03-11;"Alumno que le falta el respeto a la profesora diciendo ""Ud. está o se hace"" en el contexto de informarle al curso sobre las normas de la sala y el reglamento del colegio";;;11:40 AM;;;;;29;;;1;;;7;;;;;299;;11113063
;2024-03-15;Conducta disruptiva. Alumno que en reiteradas ocasiones interrumpe la clase haciendo ruidos con la boca y luego comienza a tirar papeles a sus compañeros. Se citará a su apoderado para hablar sobre la situación.;;;;;;;;29;;;1;;;7;;;;;347;;11113064
;2024-03-15;"participación en clases. Cumple con el desafío de&nbsp; la clase.<div>¡¡Felicitaciones!!</div>";;;3:10 PM;;;;;34;;;1;;;7;;;;;242;;11113065
;2024-03-15;"participación en clases. Cumple con el desafío de&nbsp; la clase.<div>¡¡Felicitaciones!!</div>";;;3:10 PM;;;;;34;;;1;;;7;;;;;242;;11113066
;2024-03-15;"participación en clases. Cumple con el desafío de&nbsp; la clase.<div>¡¡Felicitaciones!!</div>";;;3:10 PM;;;;;34;;;1;;;7;;;;;242;;11113067
;2024-03-15;"participación en clases. Cumple con el desafío de&nbsp; la clase.<div>¡¡Felicitaciones!!</div>";;;3:10 PM;;;;;34;;;1;;;7;;;;;242;;11113068
;2024-03-15;"participación en clases. Cumple con el desafío de&nbsp; la clase.<div>¡¡Felicitaciones!!</div>";;;3:10 PM;;;;;34;;;1;;;7;;;;;242;;11113069
;2024-03-15;"participación en clases. Cumple con el desafío de&nbsp; la clase.<div>¡¡Felicitaciones!!</div>";;;3:10 PM;;;;;34;;;1;;;7;;;;;242;;11113070
;2024-03-15;"participación en clases. Cumple con el desafío de&nbsp; la clase.<div>¡¡Felicitaciones!!</div>";;;3:10 PM;;;;;34;;;1;;;7;;;;;242;;11113071
;2024-03-15;"participación en clases. Cumple con el desafío de&nbsp; la clase.<div>¡¡Felicitaciones!!</div>";;;3:10 PM;;;;;34;;;1;;;7;;;;;242;;11113072
;2024-03-15;"participación en clases. Cumple con el desafío de&nbsp; la clase.<div>¡¡Felicitaciones!!</div>";;;3:10 PM;;;;;34;;;1;;;7;;;;;242;;11113073
;2024-03-15;"participación en clases. Cumple con el desafío de&nbsp; la clase.<div>¡¡Felicitaciones!!</div>";;;3:10 PM;;;;;34;;;1;;;7;;;;;242;;11113074
