HireDate;PositionTitle;RecordEndDateTime;RecordStartDateTime;RefEmploymentSeparationReasonId;RefEmploymentSeparationTypeId;UnionMembershipName;WeeksEmployedPerYear;OrganizationPersonRoleId;StaffEmploymentId
2021-05-07;ASISTENTE EDUCACIÓN;;;;;;;131366;151566
2021-03-02;ASISTENTE EDUCACIÓN;;;;;;;131368;151568
2020-03-01;ASISTENTE EDUCACIÓN;;;;;;;131370;151570
2018-03-01;ASISTENTE EDUCACIÓN;;;;;;;131371;151571
2020-03-02;ASISTENTE EDUCACIÓN;;;;;;;131373;151573
2020-03-02;ASISTENTE EDUCACIÓN;;;;;;;131374;151574
2020-03-01;ASISTENTE EDUCACIÓN;;;;;;;131376;151576
2019-03-01;ASISTENTE EDUCACIÓN;;;;;;;131378;151578
2018-03-01;ASISTENTE EDUCACIÓN;;;;;;;131379;151579
2018-03-01;ASISTENTE EDUCACIÓN;;;;;;;131380;151580
2018-03-01;ASISTENTE EDUCACIÓN;;;;;;;131381;151581
2019-03-01;ASISTENTE EDUCACIÓN;;;;;;;131382;151582
2018-03-01;ASISTENTE EDUCACIÓN;;;;;;;131383;151583
2015-03-02;ASISTENTE EDUCACIÓN;;;;;;;131385;151585
2012-04-23;ASISTENTE EDUCACIÓN;;;;;;;131386;151586
2013-03-01;ASISTENTE EDUCACIÓN;;;;;;;131387;151587
2012-01-02;DOCENTE;;;;;;;131391;151591
2006-03-01;DOCENTE;;;;;;;131394;151594
2021-05-10;DOCENTE;;;;;;;131396;151596
2012-03-01;DOCENTE;;;;;;;1313102;1515102
2011-03-01;DOCENTE;;;;;;;1313109;1515109
2021-07-26;DOCENTE;;;;;;;1313111;1515111
;ASISTENTE EDUCACIÓN;;;;;;;1313115;1515115
;DOCENTE;;;;;;;1313116;1515116
2022-03-01;DOCENTE;;;;;;;1313118;1515118
;ASISTENTE EDUCACIÓN;;;;;;;1313120;1515120
;DOCENTE;;;;;;;1313121;1515121
;ASISTENTE EDUCACIÓN;;;;;;;1313122;1515122
;ASISTENTE EDUCACIÓN;;;;;;;1313123;1515123
;DOCENTE;;;;;;;1313124;1515124
;DOCENTE;;;;;;;1313125;1515125
;ASISTENTE EDUCACIÓN;;;;;;;1313126;1515126
;DOCENTE;;;;;;;1313128;1515128
;DOCENTE;;;;;;;1313129;1515129
;DOCENTE;;;;;;;1313130;1515130
;DOCENTE;;;;;;;1313133;1515133
;ASISTENTE EDUCACIÓN;;;;;;;1313134;1515134
;DOCENTE;;;;;;;1313136;1515136
;ASISTENTE EDUCACIÓN;;;;;;;1313137;1515137
;ASISTENTE EDUCACIÓN;;;;;;;1313138;1515138
;ASISTENTE EDUCACIÓN;;;;;;;1313139;1515139
;ASISTENTE EDUCACIÓN;;;;;;;1313140;1515140
;ASISTENTE EDUCACIÓN;;;;;;;1313141;1515141
;DOCENTE;;;;;;;1313142;1515142
;DOCENTE;;;;;;;1313143;1515143
;DOCENTE;;;;;;;1313144;1515144
;DOCENTE;;;;;;;1313145;1515145
;DOCENTE;;;;;;;1313146;1515146
;ASISTENTE EDUCACIÓN;;;;;;;1313147;1515147
;DOCENTE;;;;;;;1313148;1515148
;ASISTENTE EDUCACIÓN;;;;;;;1313149;1515149
;ASISTENTE EDUCACIÓN;;;;;;;1313150;1515150
;DOCENTE;;;;;;;1313151;1515151
;ASISTENTE EDUCACIÓN;;;;;;;1313152;1515152
;DOCENTE;;;;;;;1313153;1515153
;DOCENTE;;;;;;;1313154;1515154
;ASISTENTE EDUCACIÓN;;;;;;;1313155;1515155
;ASISTENTE EDUCACIÓN;;;;;;;1313156;1515156
