RecordEndDateTime;RecordStartDateTime;RefRoleStatusId;StatusEndDate;OrganizationPersonRoleId;RoleStatusId;StatusStartDate
;;26;;10101602;1;2023-11-06
;;26;;10101603;2;2023-11-06
;;26;;10101604;3;2023-11-06
;;26;;10101605;4;2023-11-06
;;26;;10101606;5;2023-11-06
;;26;;10101607;6;2023-11-06
;;26;;10101608;7;2023-11-06
;;26;;10101609;8;2023-11-06
;;26;;10101610;9;2023-11-06
;;26;;10101611;10;2023-11-06
;;26;;10101612;11;2023-11-06
;;26;;10101613;12;2023-11-06
;;26;;10101615;13;2023-11-06
;;26;;10101616;14;2023-11-06
;;26;;10101617;15;2023-11-06
;;26;;10101618;16;2023-11-06
;;26;;10101619;17;2023-11-06
;;26;;10101620;18;2023-11-06
;;26;;10101621;19;2023-11-06
;;26;;10101622;20;2023-11-06
;;26;;10101623;21;2023-11-06
;;26;;10101624;22;2023-11-06
;;26;;10101625;23;2023-11-06
;;26;;10101626;24;2023-11-06
;;26;;10101627;25;2023-11-06
;;26;;10101628;26;2023-11-06
;;26;;10101629;27;2023-11-06
;;26;;10101630;28;2023-11-06
;;26;;10101631;29;2023-11-06
;;26;;10101632;30;2023-11-06
;;26;;10101633;31;2023-11-06
;;26;;10101635;32;2023-11-06
;;26;;10101636;33;2023-11-06
;;26;;10101637;34;2023-11-06
;;26;;10101638;35;2023-11-06
;;26;;10101639;36;2023-11-06
;;26;;10101640;37;2023-11-06
;;26;;10101641;38;2023-11-06
;;26;;10101642;39;2023-11-06
;;26;;10101643;40;2023-11-06
;;26;;10101644;41;2023-11-06
;;26;;10101645;42;2023-11-06
;;26;;10101646;43;2023-11-06
;;26;;10101647;44;2023-11-06
;;26;;10101648;45;2023-11-06
;;26;;10101649;46;2023-11-06
;;26;;10101650;47;2023-11-06
;;26;;10101651;48;2023-11-06
;;26;;10101652;49;2023-11-06
;;26;;10101653;50;2023-11-06
;;26;;10101655;51;2023-11-06
;;26;;10101656;52;2023-11-06
;;26;;10101657;53;2023-11-06
;;26;;10101659;54;2023-11-06
;;26;;10101660;55;2023-11-06
;;26;;10101661;56;2023-11-06
;;26;;10101662;57;2023-11-06
;;26;;10101663;58;2023-11-06
;;26;;10101664;59;2023-11-06
;;26;;10101665;60;2023-11-06
;;26;;10101666;61;2023-11-06
;;26;;10101667;62;2023-11-06
;;26;;10101668;63;2023-11-06
