AssessmentAdministrationId;AssessmentRegistrationCompletionStatusDateTime;AssignedByPersonId;CourseSectionOrganizationId;CreationDate;DaysOfInstructionPriorToAssessment;LEAFullAcademicYear;LeaOrganizationId;OrganizationId;RecordEndDateTime;RecordStartDateTime;RefAssessmentParticipationIndicatorId;RefAssessmentPurposeId;RefAssessmentReasonNotCompletingId;RefAssessmentReasonNotTestedId;RefAssessmentRegistrationCompletionStatusId;RefGradeLevelToBeAssessedId;RefGradeLevelWhenAssessedId;RetestIndicator;SchoolFullAcademicYear;SchoolOrganizationId;ScorePublishDate;StateFullAcademicYear;TestAttemptIdentifier;TestingIndicator;AssessmentFormId;AssessmentRegistrationId;PersonId
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;186545771019;25979187
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;186645771019;25750672
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;186745771019;25738111
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;186845771019;25748274
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;186945771019;25729196
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;187045771019;25901733
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;187145771019;25958247
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;187245771019;25850089
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;187445771019;26034609
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;187745771019;25884927
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;187845771019;26003455
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;188145771019;25752084
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;188345771019;26119676
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;188445771019;25780309
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;188545771019;25985857
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;188645771019;26065351
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;188745771019;26029286
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;188845771019;25882754
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;188945771019;25912538
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;189045771019;25962712
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;189145771019;25862157
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;189345771019;26061868
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;189645771019;25726477
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;189745771019;25815345
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;189845771019;25884848
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;190245771019;26041600
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;190945771019;25767906
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;191045771019;26103632
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;191245771019;26192126
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;192845771019;25779404
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;194845771019;26194947
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;196245771019;25926243
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;196345771019;25926210
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;196945771019;25843198
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;198245771019;25916255
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;198845771019;25877948
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;203345771019;25724316
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;203745771019;25787343
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;203845771019;25999573
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;205345771019;26094851
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;205545771019;25865046
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;205945771019;25957604
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;206045771019;25810941
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;206745771019;26179426
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;207845771019;25766975
3494577;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004577;250845771019;25831165
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;186545781019;25979187
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;186645781019;25750672
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;186745781019;25738111
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;186845781019;25748274
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;186945781019;25729196
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;187045781019;25901733
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;187145781019;25958247
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;187245781019;25850089
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;187445781019;26034609
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;187745781019;25884927
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;187845781019;26003455
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;188145781019;25752084
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;188345781019;26119676
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;188445781019;25780309
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;188545781019;25985857
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;188645781019;26065351
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;188745781019;26029286
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;188845781019;25882754
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;188945781019;25912538
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;189045781019;25962712
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;189145781019;25862157
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;189345781019;26061868
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;189645781019;25726477
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;189745781019;25815345
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;189845781019;25884848
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;190245781019;26041600
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;190945781019;25767906
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;191045781019;26103632
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;191245781019;26192126
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;192845781019;25779404
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;194845781019;26194947
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;196245781019;25926243
3494578;;11705115;163;;;;;;;;;;;;;;;;;;;;;;349004578;196345781019;25926210
