RecordEndDateTime;RecordStartDateTime;RefOrganizationLocationTypeId;LocationId;OrganizationId;OrganizationLocationId
;;2;100;100;100
;;2;111339;110;110
;;2;2221005;111;111
;;2;2221003;112;112
;;2;2221004;113;113
;;2;2221001;114;114
;;2;2221006;115;115
;;2;111340;124;124
;;2;2221008;125;125
;;2;2221009;126;126
;;2;2221010;127;127
;;2;111341;129;129
;;2;2221011;130;130
;;2;2221181;131;131
;;2;2221013;132;132
;;2;2221182;133;133
;;2;2221012;134;134
;;2;2221183;135;135
;;2;2221014;136;136
;;2;2221184;137;137
;;2;2221185;138;138
;;2;2221186;139;139
;;2;111342;141;141
;;2;2221016;142;142
;;2;2221017;143;143
;;2;2221018;144;144
;;2;111343;146;146
;;2;111344;147;147
;;2;111345;149;149
;;2;111346;150;150
;;2;111347;152;152
;;2;111348;153;153
;;2;111349;162;162
;;2;2221019;163;163
;;2;2221188;164;164
;;2;2221024;165;165
;;2;2221026;166;166
;;2;2221023;167;167
;;2;2221020;168;168
;;2;2221021;169;169
;;2;2221022;170;170
;;2;2221025;171;171
;;2;111350;179;179
;;2;2221027;180;180
;;2;2221028;181;181
;;2;2221029;182;182
;;2;2221030;183;183
;;2;2221031;184;184
;;2;2221032;185;185
;;2;2221033;186;186
;;2;2221034;187;187
;;2;2221035;188;188
;;2;2221036;189;189
;;2;2221037;190;190
;;2;2221038;191;191
;;2;111351;193;193
;;2;2221187;194;194
;;2;2221045;195;195
;;2;2221180;196;196
;;2;2221039;197;197
;;2;2221046;198;198
;;2;2221040;199;199
;;2;2221041;200;200
;;2;2221042;201;201
;;2;2221043;202;202
;;2;2221044;203;203
;;2;111352;207;207
;;2;2221055;208;208
;;2;2221053;209;209
;;2;2221047;210;210
;;2;2221048;211;211
;;2;2221049;212;212
;;2;2221051;213;213
;;2;2221052;214;214
;;2;2221054;215;215
;;2;2221050;216;216
;;2;111353;218;218
;;2;2221062;219;219
;;2;2221063;220;220
;;2;2221057;221;221
;;2;2221058;222;222
;;2;2221059;223;223
;;2;2221179;224;224
;;2;2221060;225;225
;;2;2221061;226;226
;;2;2221056;227;227
;;2;111354;229;229
;;2;2221070;230;230
;;2;2221069;231;231
;;2;2221064;232;232
;;2;2221065;233;233
;;2;2221066;234;234
;;2;2221071;235;235
;;2;2221067;236;236
;;2;2221068;237;237
;;2;111355;239;239
;;2;2221078;240;240
;;2;2221079;241;241
;;2;2221073;242;242
;;2;2221074;243;243
;;2;2221075;244;244
;;2;2221076;245;245
;;2;2221077;246;246
;;2;2221072;247;247
;;2;111356;249;249
;;2;2221081;250;250
;;2;2221083;251;251
;;2;2221084;252;252
;;2;2221085;253;253
;;2;2221086;254;254
;;2;2221082;255;255
;;2;2221087;256;256
;;2;2221080;257;257
;;2;111357;259;259
;;2;2221088;260;260
;;2;2221092;261;261
;;2;2221178;262;262
;;2;2221093;263;263
;;2;2221094;264;264
;;2;2221097;265;265
;;2;2221098;266;266
;;2;2221091;267;267
;;2;2221089;268;268
;;2;2221095;269;269
;;2;2221096;270;270
;;2;2221090;271;271
;;2;111358;272;272
;;2;2221099;273;273
;;2;2221100;274;274
;;2;2221101;275;275
;;2;2221102;276;276
;;2;2221103;277;277
;;2;2221104;278;278
;;2;2221105;279;279
;;2;2221106;280;280
;;2;2221107;281;281
;;2;2221108;282;282
;;2;2221109;283;283
;;2;111359;285;285
;;2;2221114;286;286
;;2;2221115;287;287
;;2;2221116;288;288
;;2;2221118;289;289
;;2;2221119;290;290
;;2;2221113;291;291
;;2;2221111;292;292
;;2;2221120;293;293
;;2;2221110;294;294
;;2;2221117;295;295
;;2;2221112;296;296
;;2;111360;297;297
;;2;2221130;298;298
;;2;2221124;299;299
;;2;2221125;300;300
;;2;2221126;301;301
;;2;2221128;302;302
;;2;2221129;303;303
;;2;2221123;304;304
;;2;2221122;305;305
;;2;2221121;306;306
;;2;2221131;307;307
;;2;2221127;308;308
;;2;111361;310;310
;;2;2221139;311;311
;;2;2221132;312;312
;;2;2221140;313;313
;;2;2221133;314;314
;;2;2221134;315;315
;;2;2221135;316;316
;;2;2221136;317;317
;;2;2221137;318;318
;;2;2221138;319;319
;;2;2221175;320;320
;;2;2221176;321;321
;;2;111362;329;329
;;2;2221143;330;330
;;2;2221148;331;331
;;2;2221149;332;332
;;2;2221144;333;333
;;2;2221146;334;334
;;2;2221147;335;335
;;2;2221145;336;336
;;2;2221150;337;337
;;2;2221142;338;338
;;2;2221151;339;339
;;2;111363;341;341
;;2;2221152;342;342
;;2;2221160;343;343
;;2;2221153;344;344
;;2;2221154;345;345
;;2;2221156;346;346
;;2;2221157;347;347
;;2;2221158;348;348
;;2;2221159;349;349
;;2;2221161;350;350
;;2;2221155;351;351
;;2;2221177;352;352
;;2;111364;354;354
;;2;2221162;355;355
;;2;2221164;356;356
;;2;2221165;357;357
;;2;2221167;358;358
;;2;2221168;359;359
;;2;2221170;360;360
;;2;2221171;361;361
;;2;2221166;362;362
;;2;2221169;363;363
;;2;2221163;364;364
;;2;111365;365;365
