ClassBeginningTime;ClassEndingTime;ClassMeetingDays;ClassPeriod;RecordEndDateTime;RecordStartDateTime;TimeDayIdentifier;CourseSectionScheduleId;OrganizationId
2:00 PM;2:45 PM;Miércoles;Bloque01;;;;1;114
5:40 PM;6:25 PM;Lunes;Bloque03;;;;2;114
5:40 PM;6:25 PM;Martes;Bloque03;;;;3;114
2:00 PM;2:45 PM;Martes;Bloque01;;;;4;112
2:45 PM;3:30 PM;Jueves;Bloque02;;;;5;112
2:45 PM;3:30 PM;Martes;Bloque02;;;;6;112
5:40 PM;6:25 PM;Viernes;Bloque03;;;;7;112
2:45 PM;3:30 PM;Lunes;Bloque02;;;;8;113
2:45 PM;3:30 PM;Miércoles;Bloque02;;;;9;113
5:40 PM;6:25 PM;Jueves;Bloque03;;;;10;113
2:00 PM;2:45 PM;Jueves;Bloque01;;;;11;111
2:00 PM;2:45 PM;Lunes;Bloque01;;;;12;111
2:45 PM;3:30 PM;Viernes;Bloque02;;;;13;111
5:40 PM;6:25 PM;Miércoles;Bloque03;;;;14;111
2:00 PM;2:45 PM;Viernes;Bloque01;;;;15;115
2:45 PM;3:30 PM;Lunes;Bloque02;;;;16;130
2:45 PM;3:30 PM;Miércoles;Bloque02;;;;17;130
5:40 PM;6:25 PM;Martes;Bloque03;;;;18;130
2:00 PM;2:45 PM;Martes;Bloque01;;;;19;134
2:45 PM;3:30 PM;Jueves;Bloque02;;;;20;134
5:40 PM;6:25 PM;Jueves;Bloque03;;;;21;134
2:00 PM;2:45 PM;Viernes;Bloque01;;;;22;134
2:00 PM;2:45 PM;Lunes;Bloque01;;;;23;132
2:00 PM;2:45 PM;Jueves;Bloque01;;;;24;132
2:45 PM;3:30 PM;Viernes;Bloque02;;;;25;132
9:40 AM;10:25 AM;Miércoles;Bloque03;;;;26;132
2:00 PM;2:45 PM;Miércoles;Bloque01;;;;27;136
2:45 PM;3:30 PM;Lunes;Bloque02;;;;28;131
2:45 PM;3:30 PM;Miércoles;Bloque02;;;;29;131
5:40 PM;6:25 PM;Martes;Bloque03;;;;30;131
2:00 PM;2:45 PM;Jueves;Bloque01;;;;31;133
2:00 PM;2:45 PM;Lunes;Bloque01;;;;32;133
2:45 PM;3:30 PM;Viernes;Bloque02;;;;33;133
5:40 PM;6:25 PM;Lunes;Bloque03;;;;34;133
2:00 PM;2:45 PM;Martes;Bloque01;;;;35;135
2:00 PM;2:45 PM;Viernes;Bloque01;;;;36;135
2:45 PM;3:30 PM;Jueves;Bloque02;;;;37;135
5:40 PM;6:25 PM;Jueves;Bloque03;;;;38;135
2:00 PM;2:45 PM;Miércoles;Bloque01;;;;39;137
2:45 PM;3:30 PM;Martes;Bloque02;;;;40;138
5:40 PM;6:25 PM;Miércoles;Bloque03;;;;41;138
5:40 PM;6:25 PM;Viernes;Bloque03;;;;42;138
2:45 PM;3:30 PM;Martes;Bloque02;;;;43;139
5:40 PM;6:25 PM;Miércoles;Bloque03;;;;44;139
5:40 PM;6:25 PM;Viernes;Bloque03;;;;45;139
2:00 PM;2:45 PM;Lunes;Bloque01;;;;46;163
2:00 PM;2:45 PM;Viernes;Bloque01;;;;47;163
2:45 PM;3:30 PM;Lunes;Bloque02;;;;48;163
2:45 PM;3:30 PM;Viernes;Bloque02;;;;49;163
4:25 PM;5:10 PM;Martes;Bloque04;;;;50;163
4:25 PM;5:10 PM;Miércoles;Bloque04;;;;51;163
5:40 PM;6:25 PM;Martes;Bloque03;;;;52;163
5:40 PM;6:25 PM;Miércoles;Bloque03;;;;53;163
2:00 PM;2:45 PM;Jueves;Bloque01;;;;54;168
2:00 PM;2:45 PM;Miércoles;Bloque01;;;;55;168
2:45 PM;3:30 PM;Jueves;Bloque02;;;;56;168
2:45 PM;3:30 PM;Miércoles;Bloque02;;;;57;168
4:25 PM;5:10 PM;Viernes;Bloque04;;;;58;168
5:40 PM;6:25 PM;Viernes;Bloque03;;;;59;168
4:25 PM;5:10 PM;Lunes;Bloque04;;;;60;169
5:20 PM;6:05 PM;Miércoles;Bloque05;;;;61;169
6:05 PM;6:50 PM;Miércoles;Bloque06;;;;62;169
2:00 PM;2:45 PM;Martes;Bloque01;;;;63;170
2:45 PM;3:30 PM;Martes;Bloque02;;;;64;170
6:05 PM;6:50 PM;Martes;Bloque06;;;;65;167
5:40 PM;6:25 PM;Lunes;Bloque03;;;;66;167
4:25 PM;5:10 PM;Jueves;Bloque04;;;;67;165
6:55 PM;7:40 PM;Martes;Bloque07;;;;68;165
5:40 PM;6:25 PM;Jueves;Bloque03;;;;69;165
5:20 PM;6:05 PM;Viernes;Bloque05;;;;70;171
6:05 PM;6:50 PM;Viernes;Bloque06;;;;71;171
5:20 PM;6:05 PM;Jueves;Bloque05;;;;72;166
5:20 PM;6:05 PM;Lunes;Bloque05;;;;73;166
5:20 PM;6:05 PM;Martes;Bloque05;;;;74;166
6:05 PM;6:50 PM;Jueves;Bloque06;;;;75;166
6:05 PM;6:50 PM;Lunes;Bloque06;;;;76;166
6:55 PM;7:40 PM;Martes;Bloque07;;;;77;164
6:05 PM;6:50 PM;Lunes;Bloque06;;;;78;197
6:55 PM;7:40 PM;Lunes;Bloque07;;;;79;197
6:55 PM;7:40 PM;Martes;Bloque07;;;;80;197
5:20 PM;6:05 PM;Viernes;Bloque05;;;;81;199
6:05 PM;6:50 PM;Viernes;Bloque06;;;;82;199
2:00 PM;2:45 PM;Jueves;Bloque01;;;;83;200
2:00 PM;2:45 PM;Miércoles;Bloque01;;;;84;200
2:00 PM;2:45 PM;Viernes;Bloque01;;;;85;200
2:45 PM;3:30 PM;Jueves;Bloque02;;;;86;200
2:45 PM;3:30 PM;Miércoles;Bloque02;;;;87;200
2:45 PM;3:30 PM;Viernes;Bloque02;;;;88;200
4:25 PM;5:10 PM;Lunes;Bloque04;;;;89;200
5:40 PM;6:25 PM;Lunes;Bloque03;;;;90;200
2:00 PM;2:45 PM;Lunes;Bloque01;;;;91;201
2:45 PM;3:30 PM;Lunes;Bloque02;;;;92;201
4:25 PM;5:10 PM;Jueves;Bloque04;;;;93;201
4:25 PM;5:10 PM;Miércoles;Bloque04;;;;94;201
5:40 PM;6:25 PM;Jueves;Bloque03;;;;95;201
5:40 PM;6:25 PM;Miércoles;Bloque03;;;;96;201
5:20 PM;6:05 PM;Martes;Bloque05;;;;97;202
5:20 PM;6:05 PM;Miércoles;Bloque05;;;;98;202
6:05 PM;6:50 PM;Martes;Bloque06;;;;99;202
4:25 PM;5:10 PM;Martes;Bloque04;;;;100;203
5:40 PM;6:25 PM;Martes;Bloque03;;;;101;203
4:25 PM;5:10 PM;Viernes;Bloque04;;;;102;195
6:05 PM;6:50 PM;Miércoles;Bloque06;;;;103;195
5:40 PM;6:25 PM;Viernes;Bloque03;;;;104;195
2:00 PM;2:45 PM;Martes;Bloque01;;;;105;198
2:45 PM;3:30 PM;Martes;Bloque02;;;;106;198
5:20 PM;6:05 PM;Jueves;Bloque05;;;;107;198
5:20 PM;6:05 PM;Lunes;Bloque05;;;;108;198
6:05 PM;6:50 PM;Jueves;Bloque06;;;;109;198
6:55 PM;7:40 PM;Martes;Bloque07;;;;110;196
6:05 PM;6:50 PM;Miércoles;Bloque06;;;;111;194
2:00 PM;2:45 PM;Viernes;Bloque01;;;;112;227
5:20 PM;6:05 PM;Jueves;Bloque05;;;;113;227
6:05 PM;6:50 PM;Jueves;Bloque06;;;;114;227
4:25 PM;5:10 PM;Viernes;Bloque04;;;;115;221
5:40 PM;6:25 PM;Viernes;Bloque03;;;;116;221
2:00 PM;2:45 PM;Jueves;Bloque01;;;;117;222
2:00 PM;2:45 PM;Lunes;Bloque01;;;;118;222
2:45 PM;3:30 PM;Jueves;Bloque02;;;;119;222
2:45 PM;3:30 PM;Lunes;Bloque02;;;;120;222
4:25 PM;5:10 PM;Martes;Bloque04;;;;121;222
5:40 PM;6:25 PM;Martes;Bloque03;;;;122;222
2:00 PM;2:45 PM;Martes;Bloque01;;;;123;223
2:45 PM;3:30 PM;Martes;Bloque02;;;;124;223
4:25 PM;5:10 PM;Jueves;Bloque04;;;;125;223
4:25 PM;5:10 PM;Lunes;Bloque04;;;;126;223
5:40 PM;6:25 PM;Jueves;Bloque03;;;;127;223
5:40 PM;6:25 PM;Lunes;Bloque03;;;;128;223
5:20 PM;6:05 PM;Miércoles;Bloque05;;;;129;225
6:05 PM;6:50 PM;Miércoles;Bloque06;;;;130;225
6:05 PM;6:50 PM;Martes;Bloque06;;;;131;226
6:55 PM;7:40 PM;Martes;Bloque07;;;;132;226
4:25 PM;5:10 PM;Miércoles;Bloque04;;;;133;219
5:20 PM;6:05 PM;Viernes;Bloque05;;;;134;219
6:05 PM;6:50 PM;Viernes;Bloque06;;;;135;219
5:40 PM;6:25 PM;Miércoles;Bloque03;;;;136;219
2:00 PM;2:45 PM;Miércoles;Bloque01;;;;137;220
2:45 PM;3:30 PM;Miércoles;Bloque02;;;;138;220
2:45 PM;3:30 PM;Viernes;Bloque02;;;;139;220
5:20 PM;6:05 PM;Lunes;Bloque05;;;;140;220
5:20 PM;6:05 PM;Martes;Bloque05;;;;141;220
6:05 PM;6:50 PM;Lunes;Bloque06;;;;142;220
6:55 PM;7:40 PM;Lunes;Bloque07;;;;143;224
4:25 PM;5:10 PM;Lunes;Bloque04;;;;144;247
6:05 PM;6:50 PM;Miércoles;Bloque06;;;;145;247
5:40 PM;6:25 PM;Lunes;Bloque03;;;;146;247
8:00 AM;8:45 AM;Viernes;Bloque01;;;;147;242
2:45 PM;3:30 PM;Viernes;Bloque02;;;;148;242
2:00 PM;2:45 PM;Lunes;Bloque01;;;;149;243
2:00 PM;2:45 PM;Miércoles;Bloque01;;;;150;243
2:45 PM;3:30 PM;Lunes;Bloque02;;;;151;243
2:45 PM;3:30 PM;Miércoles;Bloque02;;;;152;243
4:25 PM;5:10 PM;Martes;Bloque04;;;;153;243
5:40 PM;6:25 PM;Martes;Bloque03;;;;154;243
2:00 PM;2:45 PM;Jueves;Bloque01;;;;155;244
2:00 PM;2:45 PM;Martes;Bloque01;;;;156;244
2:45 PM;3:30 PM;Jueves;Bloque02;;;;157;244
2:45 PM;3:30 PM;Martes;Bloque02;;;;158;244
4:25 PM;5:10 PM;Miércoles;Bloque04;;;;159;244
5:40 PM;6:25 PM;Miércoles;Bloque03;;;;160;244
4:25 PM;5:10 PM;Viernes;Bloque04;;;;161;245
5:20 PM;6:05 PM;Miércoles;Bloque05;;;;162;245
5:40 PM;6:25 PM;Viernes;Bloque03;;;;163;245
5:20 PM;6:05 PM;Viernes;Bloque05;;;;164;246
6:05 PM;6:50 PM;Viernes;Bloque06;;;;165;246
5:20 PM;6:05 PM;Jueves;Bloque05;;;;166;240
6:05 PM;6:50 PM;Jueves;Bloque06;;;;167;240
6:55 PM;7:40 PM;Lunes;Bloque07;;;;168;240
6:55 PM;7:40 PM;Martes;Bloque07;;;;169;240
4:25 PM;5:10 PM;Jueves;Bloque04;;;;170;241
5:20 PM;6:05 PM;Lunes;Bloque05;;;;171;241
5:20 PM;6:05 PM;Martes;Bloque05;;;;172;241
6:05 PM;6:50 PM;Lunes;Bloque06;;;;173;241
6:05 PM;6:50 PM;Martes;Bloque06;;;;174;241
5:40 PM;6:25 PM;Jueves;Bloque03;;;;175;241
8:00 AM;8:45 AM;Miércoles;Bloque01;;;;176;260
8:00 AM;8:45 AM;Jueves;Bloque01;;;;177;268
8:45 AM;9:30 AM;Jueves;Bloque02;;;;178;268
11:20 AM;12:05 PM;Lunes;Bloque05;;;;179;268
9:40 AM;10:25 AM;Martes;Bloque03;;;;180;271
10:25 AM;11:10 AM;Martes;Bloque04;;;;181;271
9:40 AM;10:25 AM;Lunes;Bloque03;;;;182;267
10:25 AM;11:10 AM;Lunes;Bloque04;;;;183;267
11:20 AM;12:05 PM;Viernes;Bloque05;;;;184;267
12:05 PM;12:50 PM;Viernes;Bloque06;;;;185;267
8:00 AM;8:45 AM;Viernes;Bloque01;;;;186;261
8:45 AM;9:30 AM;Viernes;Bloque02;;;;187;261
11:20 AM;12:05 PM;Martes;Bloque05;;;;188;261
8:00 AM;8:45 AM;Martes;Bloque01;;;;189;263
8:45 AM;9:30 AM;Martes;Bloque02;;;;190;263
11:20 AM;12:05 PM;Jueves;Bloque05;;;;191;263
12:05 PM;12:50 PM;Jueves;Bloque06;;;;192;263
12:05 PM;12:50 PM;Miércoles;Bloque06;;;;193;263
8:00 AM;8:45 AM;Lunes;Bloque01;;;;194;264
8:45 AM;9:30 AM;Lunes;Bloque02;;;;195;264
9:40 AM;10:25 AM;Jueves;Bloque03;;;;196;264
9:40 AM;10:25 AM;Miércoles;Bloque03;;;;197;264
10:25 AM;11:10 AM;Jueves;Bloque04;;;;198;264
10:25 AM;11:10 AM;Miércoles;Bloque04;;;;199;264
8:45 AM;9:30 AM;Miércoles;Bloque02;;;;200;269
12:05 PM;12:50 PM;Martes;Bloque06;;;;201;270
12:05 PM;12:50 PM;Lunes;Bloque06;;;;202;265
9:40 AM;10:25 AM;Viernes;Bloque03;;;;203;266
10:25 AM;11:10 AM;Viernes;Bloque04;;;;204;266
11:20 AM;12:05 PM;Miércoles;Bloque05;;;;205;262
8:00 AM;8:45 AM;Jueves;Bloque01;;;;206;273
8:00 AM;8:45 AM;Lunes;Bloque01;;;;207;274
8:00 AM;8:45 AM;Viernes;Bloque01;;;;208;274
8:45 AM;9:30 AM;Lunes;Bloque02;;;;209;274
8:00 AM;8:45 AM;Martes;Bloque01;;;;210;275
8:45 AM;9:30 AM;Martes;Bloque02;;;;211;275
8:00 AM;8:45 AM;Miércoles;Bloque01;;;;212;276
8:45 AM;9:30 AM;Miércoles;Bloque02;;;;213;276
11:20 AM;12:05 PM;Jueves;Bloque05;;;;214;276
12:05 PM;12:50 PM;Jueves;Bloque06;;;;215;276
9:40 AM;10:25 AM;Jueves;Bloque03;;;;216;277
9:40 AM;10:25 AM;Lunes;Bloque03;;;;217;277
10:25 AM;11:10 AM;Jueves;Bloque04;;;;218;277
10:25 AM;11:10 AM;Lunes;Bloque04;;;;219;277
11:20 AM;12:05 PM;Martes;Bloque05;;;;220;277
12:05 PM;12:50 PM;Martes;Bloque06;;;;221;277
9:40 AM;10:25 AM;Martes;Bloque03;;;;222;278
10:25 AM;11:10 AM;Martes;Bloque04;;;;223;278
11:20 AM;12:05 PM;Lunes;Bloque05;;;;224;278
11:20 AM;12:05 PM;Miércoles;Bloque05;;;;225;278
12:05 PM;12:50 PM;Lunes;Bloque06;;;;226;278
12:05 PM;12:50 PM;Miércoles;Bloque06;;;;227;278
11:20 AM;12:05 PM;Viernes;Bloque05;;;;228;279
8:45 AM;9:30 AM;Viernes;Bloque02;;;;229;280
12:05 PM;12:50 PM;Viernes;Bloque06;;;;230;281
9:40 AM;10:25 AM;Miércoles;Bloque03;;;;231;282
10:25 AM;11:10 AM;Miércoles;Bloque04;;;;232;282
8:45 AM;9:30 AM;Jueves;Bloque02;;;;233;283
9:40 AM;10:25 AM;Viernes;Bloque03;;;;234;283
10:25 AM;11:10 AM;Viernes;Bloque04;;;;235;283
11:20 AM;12:05 PM;Viernes;Bloque05;;;;236;294
10:25 AM;11:10 AM;Miércoles;Bloque04;;;;237;292
11:20 AM;12:05 PM;Jueves;Bloque05;;;;238;292
12:05 PM;12:50 PM;Jueves;Bloque06;;;;239;292
11:20 AM;12:05 PM;Martes;Bloque05;;;;240;296
12:05 PM;12:50 PM;Martes;Bloque06;;;;241;296
9:40 AM;10:25 AM;Jueves;Bloque03;;;;242;291
9:40 AM;10:25 AM;Lunes;Bloque03;;;;243;291
10:25 AM;11:10 AM;Jueves;Bloque04;;;;244;291
10:25 AM;11:10 AM;Lunes;Bloque04;;;;245;291
8:00 AM;8:45 AM;Lunes;Bloque01;;;;246;286
8:45 AM;9:30 AM;Lunes;Bloque02;;;;247;286
9:40 AM;10:25 AM;Miércoles;Bloque03;;;;248;286
8:00 AM;8:45 AM;Miércoles;Bloque01;;;;249;287
8:45 AM;9:30 AM;Miércoles;Bloque02;;;;250;287
9:40 AM;10:25 AM;Martes;Bloque03;;;;251;287
10:25 AM;11:10 AM;Martes;Bloque04;;;;252;287
11:20 AM;12:05 PM;Lunes;Bloque05;;;;253;287
12:05 PM;12:50 PM;Lunes;Bloque06;;;;254;287
8:00 AM;8:45 AM;Jueves;Bloque01;;;;255;288
8:00 AM;8:45 AM;Martes;Bloque01;;;;256;288
8:45 AM;9:30 AM;Jueves;Bloque02;;;;257;288
8:45 AM;9:30 AM;Martes;Bloque02;;;;258;288
8:45 AM;9:30 AM;Viernes;Bloque02;;;;259;288
9:40 AM;10:25 AM;Viernes;Bloque03;;;;260;288
11:20 AM;12:05 PM;Miércoles;Bloque05;;;;261;295
12:05 PM;12:50 PM;Viernes;Bloque06;;;;262;289
8:00 AM;8:45 AM;Viernes;Bloque01;;;;263;290
8:45 AM;9:30 AM;Viernes;Bloque02;;;;264;290
12:05 PM;12:50 PM;Miércoles;Bloque06;;;;265;293
9:40 AM;10:25 AM;Jueves;Bloque03;;;;266;306
8:00 AM;8:45 AM;Martes;Bloque01;;;;267;305
8:45 AM;9:30 AM;Martes;Bloque02;;;;268;305
11:20 AM;12:05 PM;Viernes;Bloque05;;;;269;305
8:00 AM;8:45 AM;Miércoles;Bloque01;;;;270;304
8:45 AM;9:30 AM;Miércoles;Bloque02;;;;271;304
9:40 AM;10:25 AM;Martes;Bloque03;;;;272;304
10:25 AM;11:10 AM;Martes;Bloque04;;;;273;304
10:25 AM;11:10 AM;Jueves;Bloque04;;;;274;299
11:20 AM;12:05 PM;Lunes;Bloque05;;;;275;299
12:05 PM;12:50 PM;Lunes;Bloque06;;;;276;299
8:00 AM;8:45 AM;Lunes;Bloque01;;;;277;300
8:00 AM;8:45 AM;Viernes;Bloque01;;;;278;300
8:45 AM;9:30 AM;Lunes;Bloque02;;;;279;300
8:45 AM;9:30 AM;Viernes;Bloque02;;;;280;300
9:40 AM;10:25 AM;Miércoles;Bloque03;;;;281;300
10:25 AM;11:10 AM;Miércoles;Bloque04;;;;282;300
9:40 AM;10:25 AM;Lunes;Bloque03;;;;283;301
9:40 AM;10:25 AM;Viernes;Bloque03;;;;284;301
10:25 AM;11:10 AM;Lunes;Bloque04;;;;285;301
10:25 AM;11:10 AM;Viernes;Bloque04;;;;286;301
11:20 AM;12:05 PM;Martes;Bloque05;;;;287;301
12:05 PM;12:50 PM;Martes;Bloque06;;;;288;301
12:05 PM;12:50 PM;Viernes;Bloque06;;;;289;308
12:05 PM;12:50 PM;Jueves;Bloque06;;;;290;302
11:20 AM;12:05 PM;Miércoles;Bloque05;;;;291;303
12:05 PM;12:50 PM;Miércoles;Bloque06;;;;292;303
8:00 AM;8:45 AM;Jueves;Bloque01;;;;293;298
8:45 AM;9:30 AM;Jueves;Bloque02;;;;294;298
