EntryDate;ExitDate;RecordEndDateTime;RecordStartDateTime;OrganizationId;OrganizationPersonRoleId;PersonId;RoleId
2024-03-05T00:00:00-03:00;;;;;10105237;23126885;6
2024-03-05T00:00:00-03:00;;;;;10105238;23314289;6
2024-03-05T00:00:00-03:00;;;;;10105239;23207068;6
2024-03-05T00:00:00-03:00;;;;;10105240;23137380;6
2024-03-05T00:00:00-03:00;;;;;10105242;23258497;6
2024-03-05T00:00:00-03:00;;;;;10105243;23273788;6
2024-03-05T00:00:00-03:00;;;;;10105244;23087300;6
2024-03-05T00:00:00-03:00;;;;;10105245;22740199;6
2024-03-05T00:00:00-03:00;;;;;10105246;22816969;6
2024-03-05T00:00:00-03:00;;;;;10105247;22858471;6
2024-03-05T00:00:00-03:00;;;;;10105248;22880875;6
2024-03-05T00:00:00-03:00;;;;;10105250;22819083;6
2024-03-05T00:00:00-03:00;;;;;10105252;22785987;6
2024-03-05T00:00:00-03:00;;;;;10105253;22614772;6
2024-03-05T00:00:00-03:00;;;;;10105255;22707739;6
2024-03-05T00:00:00-03:00;;;;;10105256;22633136;6
2024-03-05T00:00:00-03:00;;;;;10105257;22432419;6
2024-03-05T00:00:00-03:00;;;;;10105258;22726209;6
2024-03-05T00:00:00-03:00;;;;;10105259;22625481;6
2024-03-05T00:00:00-03:00;;;;;10105260;22508458;6
2024-03-05T00:00:00-03:00;;;;;10105261;22689259;6
2024-03-05T00:00:00-03:00;;;;;10105262;22752656;6
2024-03-05T00:00:00-03:00;;;;;10105263;22618784;6
2024-03-05T00:00:00-03:00;;;;;10105264;22432444;6
2024-03-05T00:00:00-03:00;;;;;10105265;22543359;6
2024-03-05T00:00:00-03:00;;;;;10105266;22590592;6
2024-03-05T00:00:00-03:00;;;;;10105267;22419591;6
2024-03-05T00:00:00-03:00;;;;;10105268;22150857;6
2024-03-05T00:00:00-03:00;;;;;10105269;22625253;6
2024-03-05T00:00:00-03:00;;;;;10105270;22486240;6
2024-03-05T00:00:00-03:00;;;;;10105271;22590610;6
2024-03-05T00:00:00-03:00;;;;;10105272;22430911;6
2024-03-05T00:00:00-03:00;;;;;10105273;22425795;6
2024-03-05T00:00:00-03:00;;;;;10105274;21901009;6
2024-03-05T00:00:00-03:00;;;;;10105275;22198370;6
2024-03-05T00:00:00-03:00;;;;;10105276;22399289;6
2024-03-05T00:00:00-03:00;;;;;10105277;22253673;6
2024-03-05T00:00:00-03:00;;;;;10105280;22045993;6
2024-03-05T00:00:00-03:00;;;;;10105289;22020986;6
2024-03-05T00:00:00-03:00;;;;;10105293;22152044;6
2024-03-05T00:00:00-03:00;;;;;10105294;22709639;6
2024-03-05T00:00:00-03:00;;;;;10105295;23506772;6
2024-03-05T00:00:00-03:00;;;;;10105296;23487089;6
2024-03-05T00:00:00-03:00;;;;;10105297;23663161;6
2024-03-05T00:00:00-03:00;;;;;10105298;23362402;6
2024-03-05T00:00:00-03:00;;;;;10105299;23487090;6
2024-03-05T00:00:00-03:00;;;;;10105300;23447110;6
2024-03-05T00:00:00-03:00;;;;;10105301;23516406;6
2024-03-05T00:00:00-03:00;;;;;10105302;23267141;6
2024-03-05T00:00:00-03:00;;;;;10105303;23120605;6
2024-03-05T00:00:00-03:00;;;;;10105304;23163593;6
2024-03-05T00:00:00-03:00;;;;;10105305;22879093;6
2024-03-05T00:00:00-03:00;;;;;10105306;22818410;6
2024-03-05T00:00:00-03:00;;;;;10105307;23549299;6
2024-03-05T00:00:00-03:00;;;;;10105309;23674413;6
2024-03-05T00:00:00-03:00;;;;;10105311;22813544;6
2024-03-05T00:00:00-03:00;;;;;10105312;23273276;6
2024-03-05T00:00:00-03:00;;;;;10105313;22352526;6
2024-03-05T00:00:00-03:00;;;;;10105315;22476794;6
2024-03-05T00:00:00-03:00;;;;;10105316;22809849;6
2024-03-05T00:00:00-03:00;;;;;10105318;22549312;6
2024-03-05T00:00:00-03:00;;;;;10105319;22448732;6
2024-03-05T00:00:00-03:00;;;;;10105320;23119144;6
2024-03-05T00:00:00-03:00;;;;;10105321;23158901;6
2024-03-05T00:00:00-03:00;;;;;10105323;23005312;6
2024-03-05T00:00:00-03:00;;;;;10105324;23230955;6
2024-03-05T00:00:00-03:00;;;;;10105325;23263271;6
2024-03-05T00:00:00-03:00;;;;;10105326;23203338;6
2024-03-05T00:00:00-03:00;;;;;10105328;22923274;6
2024-03-05T00:00:00-03:00;;;;;10105329;23884195;6
2024-03-05T00:00:00-03:00;;;;;10105330;23055685;6
2024-03-05T00:00:00-03:00;;;;;10105331;23897008;6
2024-03-05T00:00:00-03:00;;;;;10105332;23742128;6
2024-03-05T00:00:00-03:00;;;;;10105333;23693021;6
2024-03-05T00:00:00-03:00;;;;;10105334;23901174;6
2024-03-05T00:00:00-03:00;;;;;10105335;23862992;6
2024-03-05T00:00:00-03:00;;;;;10105336;23920155;6
