ContributionPercentage;FullTimeEquivalency;HighlyQualifiedTeacherIndicator;ItinerantTeacher;PrimaryAssignment;RecordEndDateTime;RecordStartDateTime;RefClassroomPositionTypeId;RefK12StaffClassificationId;RefMepStaffCategoryId;RefProfessionalEducationJobClassificationId;RefSpecialEducationAgeGroupTaughtId;RefSpecialEducationStaffCategoryId;RefTeachingAssignmentRoleId;RefTitleIProgramStaffCategoryId;SpecialEducationParaprofessional;SpecialEducationRelatedServicesPersonnel;SpecialEducationTeacher;TeacherOfRecord;OrganizationPersonRoleId
;;;;;;;;7;;10;;;;;;;;;13133
;;;;;;;;7;;10;;;;;;;;;13137
;;;;;;;;7;;10;;;;;;;;;13139
;;;;;;;;7;;10;;;;;;;;;131315
;;;;;;;;7;;10;;;;;;;;;131316
;;;;;;;;7;;10;;;;;;;;;131317
;;;;;;;;7;;10;;;;;;;;;131318
;;;;;;;;7;;10;;;;;;;;;131320
;;;;;;;;7;;10;;;;;;;;;131326
;;;;;;;;2;;14;;;;;;;;;131327
;;;;;;;;7;;10;;;;;;;;;131330
;;;;;;;;7;;10;;;;;;;;;131331
;;;;;;;;7;;10;;;;;;;;;131333
;;;;;;;;7;;10;;;;;;;;;131335
;;;;;;;;7;;10;;;;;;;;;131337
;;;;;;;;7;;10;;;;;;;;;131341
;;;;;;;;7;;10;;;;;;;;;131343
;;;;;;;;1;;14;;;;;;;;;131345
;;;;;;;;7;;10;;;;;;;;;131349
;;;;;;;;7;;10;;;;;;;;;131350
;;;;;;;;7;;10;;;;;;;;;131351
;;;;;;;;7;;10;;;;;;;;;131352
;;;;;;;;7;;10;;;;;;;;;131354
;;;;;;;;7;;10;;;;;;;;;131355
;;;;;;;;7;;10;;;;;;;;;131356
;;;;;;;;7;;10;;;;;;;;;131357
;;;;;;;;7;;10;;;;;;;;;131358
;;;;;;;;7;;10;;;;;;;;;131359
;;;;;;;;7;;10;;;;;;;;;131363
;;;;;;;;3;;14;;;;;;;;;131367
;;;;;;;;3;;14;;;;;;;;;131371
;;;;;;;;7;;10;;;;;;;;;131375
;;;;;;;;7;;10;;;;;;;;;131377
;;;;;;;;3;;14;;;;;;;;;131379
;;;;;;;;3;;14;;;;;;;;;131380
;;;;;;;;3;;14;;;;;;;;;131392
;;;;;;;;7;;10;;;;;;;;;131396
;;;;;;;;7;;10;;;;;;;;;131397
;;;;;;;;7;;10;;;;;;;;;131398
;;;;;;;;3;;14;;;;;;;;;131399
;;;;;;;;7;;10;;;2;;;;;;202029284
;;;;;;;;7;;10;;;2;;;;;;202029424
;;;;;;;;7;;10;;;2;;;;;;202029694
;;;;;;;;7;;10;;;2;;;;;;202028798
;;;;;;;;7;;10;;;2;;;;;;202028898
;;;;;;;;7;;10;;;2;;;;;;202029148
;;;;;;;;7;;10;;;2;;;;;;202029198
;;;;;;;;7;;10;;;2;;;;;;202029298
;;;;;;;;7;;10;;;2;;;;;;202029438
;;;;;;;;7;;10;;;2;;;;;;202029708
;;;;;;;;7;;10;;;2;;;;;;202031898
;;;;;;;;7;;10;;;2;;;;;;2020313710
;;;;;;;;7;;10;;;2;;;;;;2020314110
;;;;;;;;7;;10;;;2;;;;;;2020315010
;;;;;;;;7;;10;;;2;;;;;;2020316410
;;;;;;;;7;;10;;;2;;;;;;2020317810
;;;;;;;;7;;10;;;2;;;;;;2020291315
;;;;;;;;7;;10;;;2;;;;;;2020291515
;;;;;;;;7;;10;;;2;;;;;;2020291815
;;;;;;;;7;;10;;;2;;;;;;2020292115
;;;;;;;;7;;10;;;2;;;;;;2020292315
;;;;;;;;7;;10;;;2;;;;;;2020290619
;;;;;;;;7;;10;;;2;;;;;;2020290919
;;;;;;;;7;;10;;;2;;;;;;2020291119
;;;;;;;;7;;10;;;2;;;;;;2020291219
;;;;;;;;7;;10;;;2;;;;;;2020292419
;;;;;;;;7;;10;;;2;;;;;;2020292519
;;;;;;;;7;;10;;;2;;;;;;2020292619
;;;;;;;;7;;10;;;2;;;;;;2020292719
;;;;;;;;7;;10;;;2;;;;;;2020293919
;;;;;;;;7;;10;;;2;;;;;;2020295219
;;;;;;;;7;;10;;;2;;;;;;2020295319
;;;;;;;;7;;10;;;2;;;;;;2020298019
;;;;;;;;7;;10;;;2;;;;;;2020300619
;;;;;;;;7;;10;;;2;;;;;;2020288420
;;;;;;;;7;;10;;;2;;;;;;2020293420
;;;;;;;;7;;10;;;2;;;;;;2020293520
;;;;;;;;7;;10;;;2;;;;;;2020293820
;;;;;;;;7;;10;;;2;;;;;;2020294120
;;;;;;;;7;;10;;;2;;;;;;2020294820
;;;;;;;;7;;10;;;2;;;;;;2020294920
;;;;;;;;7;;10;;;2;;;;;;2020297420
;;;;;;;;7;;10;;;2;;;;;;2020297520
;;;;;;;;7;;10;;;2;;;;;;2020300020
;;;;;;;;7;;10;;;2;;;;;;2020300120
;;;;;;;;7;;10;;;2;;;;;;2020302620
;;;;;;;;7;;10;;;2;;;;;;2020303220
;;;;;;;;7;;10;;;2;;;;;;2020303820
;;;;;;;;7;;10;;;2;;;;;;2020304420
;;;;;;;;7;;10;;;2;;;;;;2020305020
;;;;;;;;7;;10;;;2;;;;;;2020305620
;;;;;;;;7;;10;;;2;;;;;;2020306220
;;;;;;;;7;;10;;;2;;;;;;2020306820
;;;;;;;;7;;10;;;2;;;;;;2020318820
;;;;;;;;7;;10;;;2;;;;;;2020299623
;;;;;;;;7;;10;;;2;;;;;;2020302223
;;;;;;;;7;;10;;;2;;;;;;2020303023
;;;;;;;;7;;10;;;2;;;;;;2020303423
;;;;;;;;7;;10;;;2;;;;;;2020304623
;;;;;;;;7;;10;;;2;;;;;;2020305823
;;;;;;;;7;;10;;;2;;;;;;2020314023
;;;;;;;;7;;10;;;2;;;;;;2020315223
;;;;;;;;7;;10;;;2;;;;;;2020316723
;;;;;;;;7;;10;;;2;;;;;;2020318023
;;;;;;;;7;;10;;;2;;;;;;2020299525
;;;;;;;;7;;10;;;2;;;;;;2020302125
;;;;;;;;7;;10;;;2;;;;;;2020303325
;;;;;;;;7;;10;;;2;;;;;;2020304225
;;;;;;;;7;;10;;;2;;;;;;2020304525
;;;;;;;;7;;10;;;2;;;;;;2020305725
;;;;;;;;7;;10;;;2;;;;;;2020316225
;;;;;;;;7;;10;;;2;;;;;;2020317625
;;;;;;;;3;;14;;;2;;;;;;2020293027
;;;;;;;;3;;14;;;2;;;;;;2020294427
;;;;;;;;3;;14;;;2;;;;;;2020297127
;;;;;;;;3;;14;;;2;;;;;;2020299727
;;;;;;;;3;;14;;;2;;;;;;2020300527
;;;;;;;;3;;14;;;2;;;;;;2020314227
;;;;;;;;3;;14;;;2;;;;;;2020315427
;;;;;;;;3;;14;;;2;;;;;;2020316927
;;;;;;;;3;;14;;;2;;;;;;2020318227
;;;;;;;;7;;10;;;2;;;;;;2020315329
;;;;;;;;7;;10;;;2;;;;;;2020303130
;;;;;;;;7;;10;;;2;;;;;;2020304330
;;;;;;;;7;;10;;;2;;;;;;2020305530
;;;;;;;;7;;10;;;2;;;;;;2020306730
;;;;;;;;7;;10;;;2;;;;;;2020316830
;;;;;;;;7;;10;;;2;;;;;;2020317030
;;;;;;;;7;;10;;;2;;;;;;2020317430
;;;;;;;;7;;10;;;2;;;;;;2020317530
