AssessmentAdministrationPeriodDescription;AssessmentId;AssessmentSecureIndicator;Code;FinishDate;FinishTime;Name;RecordEndDateTime;RecordStartDateTime;RefAssessmentReportingMethodId;StartDate;StartTime;AssessmentAdministrationId
;101;;1;;;nota Sumativa #1: MATEMATICA;;;;;;27911326
;101;;2;;;nota Sumativa #2: MATEMATICA;;;;;;27911327
;101;;3;;;nota Sumativa #3: MATEMATICA;;;;;;27911328
;101;;4;;;nota Sumativa #4: MATEMATICA;;;;;;27911329
;101;;5;;;nota Sumativa #5: MATEMATICA;;;;;;27911330
;101;;6;;;nota Sumativa #6: MATEMATICA;;;;;;27911331
;101;;7;;;nota Sumativa #7: MATEMATICA;;;;;;27911332
;101;;8;;;nota Sumativa #8: MATEMATICA;;;;;;27911333
;101;;9;;;nota Sumativa #9: MATEMATICA;;;;;;27911334
;101;;10;;;nota Sumativa #10: MATEMATICA;;;;;;27911335
;101;;11;;;nota Sumativa #11: MATEMATICA;;;;;;27911336
;101;;12;;;nota Sumativa #12: MATEMATICA;;;;;;27911337
;101;;13;;;nota Sumativa #13: MATEMATICA;;;;;;27911338
;101;;14;;;nota Sumativa #14: MATEMATICA;;;;;;27911339
;101;;15;;;nota Sumativa #15: MATEMATICA;;;;;;27911340
;101;;1;;;nota Sumativa #1: CIENCIAS NATURALES;;;;;;27911341
;101;;2;;;nota Sumativa #2: CIENCIAS NATURALES;;;;;;27911342
;101;;3;;;nota Sumativa #3: CIENCIAS NATURALES;;;;;;27911343
;101;;4;;;nota Sumativa #4: CIENCIAS NATURALES;;;;;;27911344
;101;;5;;;nota Sumativa #5: CIENCIAS NATURALES;;;;;;27911345
;101;;6;;;nota Sumativa #6: CIENCIAS NATURALES;;;;;;27911346
;101;;7;;;nota Sumativa #7: CIENCIAS NATURALES;;;;;;27911347
;101;;8;;;nota Sumativa #8: CIENCIAS NATURALES;;;;;;27911348
;101;;9;;;nota Sumativa #9: CIENCIAS NATURALES;;;;;;27911349
;101;;10;;;nota Sumativa #10: CIENCIAS NATURALES;;;;;;27911350
;101;;11;;;nota Sumativa #11: CIENCIAS NATURALES;;;;;;27911351
;101;;12;;;nota Sumativa #12: CIENCIAS NATURALES;;;;;;27911352
;101;;13;;;nota Sumativa #13: CIENCIAS NATURALES;;;;;;27911353
;101;;14;;;nota Sumativa #14: CIENCIAS NATURALES;;;;;;27911354
;101;;15;;;nota Sumativa #15: CIENCIAS NATURALES;;;;;;27911355
;101;;1;;;nota Sumativa #1: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;27911356
;101;;2;;;nota Sumativa #2: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;27911357
;101;;3;;;nota Sumativa #3: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;27911358
;101;;4;;;nota Sumativa #4: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;27911359
;101;;5;;;nota Sumativa #5: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;27911360
;101;;6;;;nota Sumativa #6: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;27911361
;101;;7;;;nota Sumativa #7: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;27911362
;101;;8;;;nota Sumativa #8: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;27911363
;101;;9;;;nota Sumativa #9: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;27911364
;101;;10;;;nota Sumativa #10: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;27911365
;101;;11;;;nota Sumativa #11: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;27911366
;101;;12;;;nota Sumativa #12: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;27911367
;101;;13;;;nota Sumativa #13: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;27911368
;101;;14;;;nota Sumativa #14: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;27911369
;101;;15;;;nota Sumativa #15: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;27911370
;101;;1;;;nota Sumativa #1: LENGUAJE Y COMUNICACION;;;;;;27911371
;101;;2;;;nota Sumativa #2: LENGUAJE Y COMUNICACION;;;;;;27911372
;101;;3;;;nota Sumativa #3: LENGUAJE Y COMUNICACION;;;;;;27911373
;101;;4;;;nota Sumativa #4: LENGUAJE Y COMUNICACION;;;;;;27911374
;101;;5;;;nota Sumativa #5: LENGUAJE Y COMUNICACION;;;;;;27911375
;101;;6;;;nota Sumativa #6: LENGUAJE Y COMUNICACION;;;;;;27911376
;101;;7;;;nota Sumativa #7: LENGUAJE Y COMUNICACION;;;;;;27911377
;101;;8;;;nota Sumativa #8: LENGUAJE Y COMUNICACION;;;;;;27911378
;101;;9;;;nota Sumativa #9: LENGUAJE Y COMUNICACION;;;;;;27911379
;101;;10;;;nota Sumativa #10: LENGUAJE Y COMUNICACION;;;;;;27911380
;101;;11;;;nota Sumativa #11: LENGUAJE Y COMUNICACION;;;;;;27911381
;101;;12;;;nota Sumativa #12: LENGUAJE Y COMUNICACION;;;;;;27911382
;101;;13;;;nota Sumativa #13: LENGUAJE Y COMUNICACION;;;;;;27911383
;101;;14;;;nota Sumativa #14: LENGUAJE Y COMUNICACION;;;;;;27911384
;101;;15;;;nota Sumativa #15: LENGUAJE Y COMUNICACION;;;;;;27911385
;101;;1;;;nota Sumativa #1: Lectura De Planos Y Documentos Técnicos;;;;;;29911386
;101;;2;;;nota Sumativa #2: Lectura De Planos Y Documentos Técnicos;;;;;;29911387
;101;;3;;;nota Sumativa #3: Lectura De Planos Y Documentos Técnicos;;;;;;29911388
;101;;4;;;nota Sumativa #4: Lectura De Planos Y Documentos Técnicos;;;;;;29911389
;101;;5;;;nota Sumativa #5: Lectura De Planos Y Documentos Técnicos;;;;;;29911390
;101;;6;;;nota Sumativa #6: Lectura De Planos Y Documentos Técnicos;;;;;;29911391
;101;;7;;;nota Sumativa #7: Lectura De Planos Y Documentos Técnicos;;;;;;29911392
;101;;8;;;nota Sumativa #8: Lectura De Planos Y Documentos Técnicos;;;;;;29911393
;101;;9;;;nota Sumativa #9: Lectura De Planos Y Documentos Técnicos;;;;;;29911394
;101;;10;;;nota Sumativa #10: Lectura De Planos Y Documentos Técnicos;;;;;;29911395
;101;;11;;;nota Sumativa #11: Lectura De Planos Y Documentos Técnicos;;;;;;29911396
;101;;12;;;nota Sumativa #12: Lectura De Planos Y Documentos Técnicos;;;;;;29911397
;101;;13;;;nota Sumativa #13: Lectura De Planos Y Documentos Técnicos;;;;;;29911398
;101;;14;;;nota Sumativa #14: Lectura De Planos Y Documentos Técnicos;;;;;;29911399
;101;;15;;;nota Sumativa #15: Lectura De Planos Y Documentos Técnicos;;;;;;29911400
;101;;1;;;nota Sumativa #1: Dibujo Manual De Levantamientos;;;;;;29911401
;101;;2;;;nota Sumativa #2: Dibujo Manual De Levantamientos;;;;;;29911402
;101;;3;;;nota Sumativa #3: Dibujo Manual De Levantamientos;;;;;;29911403
;101;;4;;;nota Sumativa #4: Dibujo Manual De Levantamientos;;;;;;29911404
;101;;5;;;nota Sumativa #5: Dibujo Manual De Levantamientos;;;;;;29911405
;101;;6;;;nota Sumativa #6: Dibujo Manual De Levantamientos;;;;;;29911406
;101;;7;;;nota Sumativa #7: Dibujo Manual De Levantamientos;;;;;;29911407
;101;;8;;;nota Sumativa #8: Dibujo Manual De Levantamientos;;;;;;29911408
;101;;9;;;nota Sumativa #9: Dibujo Manual De Levantamientos;;;;;;29911409
;101;;10;;;nota Sumativa #10: Dibujo Manual De Levantamientos;;;;;;29911410
;101;;11;;;nota Sumativa #11: Dibujo Manual De Levantamientos;;;;;;29911411
;101;;12;;;nota Sumativa #12: Dibujo Manual De Levantamientos;;;;;;29911412
;101;;13;;;nota Sumativa #13: Dibujo Manual De Levantamientos;;;;;;29911413
;101;;14;;;nota Sumativa #14: Dibujo Manual De Levantamientos;;;;;;29911414
;101;;15;;;nota Sumativa #15: Dibujo Manual De Levantamientos;;;;;;29911415
;101;;1;;;nota Sumativa #1: Dibujo Digital De Piezas Y Conjuntos Mecánicos;;;;;;29911416
;101;;2;;;nota Sumativa #2: Dibujo Digital De Piezas Y Conjuntos Mecánicos;;;;;;29911417
;101;;3;;;nota Sumativa #3: Dibujo Digital De Piezas Y Conjuntos Mecánicos;;;;;;29911418
;101;;4;;;nota Sumativa #4: Dibujo Digital De Piezas Y Conjuntos Mecánicos;;;;;;29911419
;101;;5;;;nota Sumativa #5: Dibujo Digital De Piezas Y Conjuntos Mecánicos;;;;;;29911420
;101;;6;;;nota Sumativa #6: Dibujo Digital De Piezas Y Conjuntos Mecánicos;;;;;;29911421
;101;;7;;;nota Sumativa #7: Dibujo Digital De Piezas Y Conjuntos Mecánicos;;;;;;29911422
;101;;8;;;nota Sumativa #8: Dibujo Digital De Piezas Y Conjuntos Mecánicos;;;;;;29911423
;101;;9;;;nota Sumativa #9: Dibujo Digital De Piezas Y Conjuntos Mecánicos;;;;;;29911424
;101;;10;;;nota Sumativa #10: Dibujo Digital De Piezas Y Conjuntos Mecánicos;;;;;;29911425
;101;;11;;;nota Sumativa #11: Dibujo Digital De Piezas Y Conjuntos Mecánicos;;;;;;29911426
;101;;12;;;nota Sumativa #12: Dibujo Digital De Piezas Y Conjuntos Mecánicos;;;;;;29911427
;101;;13;;;nota Sumativa #13: Dibujo Digital De Piezas Y Conjuntos Mecánicos;;;;;;29911428
;101;;14;;;nota Sumativa #14: Dibujo Digital De Piezas Y Conjuntos Mecánicos;;;;;;29911429
;101;;15;;;nota Sumativa #15: Dibujo Digital De Piezas Y Conjuntos Mecánicos;;;;;;29911430
;101;;1;;;nota Sumativa #1: MATEMATICA;;;;;;28111446
;101;;2;;;nota Sumativa #2: MATEMATICA;;;;;;28111447
;101;;3;;;nota Sumativa #3: MATEMATICA;;;;;;28111448
;101;;4;;;nota Sumativa #4: MATEMATICA;;;;;;28111449
;101;;5;;;nota Sumativa #5: MATEMATICA;;;;;;28111450
;101;;6;;;nota Sumativa #6: MATEMATICA;;;;;;28111451
;101;;7;;;nota Sumativa #7: MATEMATICA;;;;;;28111452
;101;;8;;;nota Sumativa #8: MATEMATICA;;;;;;28111453
;101;;9;;;nota Sumativa #9: MATEMATICA;;;;;;28111454
;101;;10;;;nota Sumativa #10: MATEMATICA;;;;;;28111455
;101;;11;;;nota Sumativa #11: MATEMATICA;;;;;;28111456
;101;;12;;;nota Sumativa #12: MATEMATICA;;;;;;28111457
;101;;13;;;nota Sumativa #13: MATEMATICA;;;;;;28111458
;101;;14;;;nota Sumativa #14: MATEMATICA;;;;;;28111459
;101;;15;;;nota Sumativa #15: MATEMATICA;;;;;;28111460
;101;;1;;;nota Sumativa #1: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;28111461
;101;;2;;;nota Sumativa #2: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;28111462
;101;;3;;;nota Sumativa #3: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;28111463
;101;;4;;;nota Sumativa #4: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;28111464
;101;;5;;;nota Sumativa #5: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;28111465
;101;;6;;;nota Sumativa #6: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;28111466
;101;;7;;;nota Sumativa #7: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;28111467
;101;;8;;;nota Sumativa #8: HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES;;;;;;28111468
