HonorDescription;RecordEndDateTime;RecordStartDateTime;RefAcademicHonorTypeId;K12StudentAcademicHonorId;OrganizationPersonRoleId
;;;1;1;10105236
;;;1;2;10105237
;;;1;3;10105238
;;;1;4;10105239
;;;1;5;10105240
;;;1;6;10105242
;;;1;7;10105243
;;;1;8;10105244
;;;1;9;10105245
;;;1;10;10105246
;;;1;11;10105247
;;;1;12;10105248
;;;1;13;10105250
;;;1;14;10105252
;;;1;15;10105253
;;;1;16;10105255
;;;1;17;10105256
;;;1;18;10105257
;;;1;19;10105258
;;;1;20;10105259
;;;1;21;10105260
;;;1;22;10105261
;;;1;23;10105262
;;;1;24;10105263
;;;1;25;10105264
;;;1;26;10105265
;;;1;27;10105267
;;;1;28;10105268
;;;1;29;10105269
;;;1;30;10105270
;;;1;31;10105271
;;;1;32;10105272
;;;1;33;10105273
;;;1;34;10105274
;;;1;35;10105275
;;;1;36;10105276
;;;1;37;10105277
;;;1;38;10105280
;;;1;39;10105293
;;;1;40;10105294
;;;1;41;10105295
;;;1;42;10105296
;;;1;43;10105297
;;;1;44;10105298
;;;1;45;10105299
;;;1;46;10105300
;;;1;47;10105301
;;;1;48;10105302
;;;1;49;10105303
;;;1;50;10105304
;;;1;51;10105305
;;;1;52;10105306
;;;1;53;10105307
;;;1;54;10105309
;;;1;55;10105310
;;;1;56;10105311
;;;1;57;10105312
;;;1;58;10105313
;;;1;59;10105315
;;;1;60;10105316
;;;1;61;10105318
;;;1;62;10105319
;;;1;63;10105320
;;;1;64;10105321
;;;1;65;10105323
;;;1;66;10105324
;;;1;67;10105325
;;;1;68;10105326
;;;1;69;10105327
;;;1;70;10105328
;;;1;71;10105329
;;;1;72;10105330
;;;1;73;10105331
;;;1;74;10105332
;;;1;75;10105333
;;;1;76;10105334
;;;1;77;10105335
;;;1;78;10105336
;;;1;79;10105337
;;;1;80;10105338
;;;1;81;10105339
;;;1;82;10105340
;;;1;83;10105341
;;;1;84;10105342
;;;1;85;10105343
;;;1;86;10105344
;;;1;87;10105345
;;;1;88;10105346
;;;1;89;10105347
;;;1;90;10105348
;;;1;91;10105349
;;;1;92;10105350
;;;1;93;10105352
;;;1;94;10105353
;;;1;95;10105354
;;;1;96;10105355
;;;1;97;10105356
;;;1;98;10105357
;;;1;99;10105358
;;;1;100;10105359
;;;1;101;10105360
;;;1;102;10105361
;;;1;103;10105363
;;;1;104;10105364
;;;1;105;10105365
;;;1;106;10105369
;;;1;107;10105370
;;;1;108;10105372
;;;1;109;10105375
;;;1;110;10105376
;;;1;111;10105377
;;;1;112;10105378
;;;1;113;10105379
;;;1;114;10105380
;;;1;115;10105381
;;;1;116;10105382
;;;1;117;10105384
;;;1;118;10105385
;;;1;119;10105386
;;;1;120;10105387
;;;1;121;10105388
;;;1;122;10105389
;;;1;123;10105390
;;;1;124;10105392
;;;1;125;10105393
;;;1;126;10105394
;;;1;127;10105395
;;;1;128;10105396
;;;1;129;10105397
;;;1;130;10105398
;;;1;131;10105399
;;;1;132;10105400
;;;1;133;10105403
;;;1;134;10105404
;;;1;135;10105405
;;;1;136;10105406
;;;1;137;10105407
;;;1;138;10105408
;;;1;139;10105409
;;;1;140;10105410
;;;1;141;10105411
;;;1;142;10105412
;;;1;143;10105413
;;;1;144;10105414
;;;1;145;10105415
;;;1;146;10105417
;;;1;147;10105418
;;;1;148;10105419
;;;1;149;10105420
;;;1;150;10105421
;;;1;151;10105422
;;;1;152;10105423
;;;1;153;10105424
;;;1;154;10105425
;;;1;155;10105426
;;;1;156;10105427
;;;1;157;10105428
;;;1;158;10105429
;;;1;159;10105430
;;;1;160;10105431
;;;1;161;10105438
;;;1;162;10105439
;;;1;163;10105440
;;;1;164;10105444
;;;1;165;10105446
;;;1;166;10105448
;;;1;167;10105449
;;;1;168;10105450
;;;1;169;10105451
;;;1;170;10105452
;;;1;171;10105453
;;;1;172;10105454
;;;1;173;10105455
;;;1;174;10105456
;;;1;175;10105457
;;;1;176;10105458
;;;1;177;10105459
;;;1;178;10105460
;;;1;179;10105461
;;;1;180;10105462
;;;1;181;10105463
;;;1;182;10105464
;;;1;183;10105466
;;;1;184;10105467
;;;1;185;10105468
;;;1;186;10105469
;;;1;187;10105470
;;;1;188;10105471
;;;1;189;10105472
;;;1;190;10105473
;;;1;191;10105474
;;;1;192;10105475
;;;1;193;10105476
;;;1;194;10105477
;;;1;195;10105478
;;;1;196;10105479
;;;1;197;10105480
;;;1;198;10105481
;;;1;199;10105489
;;;1;200;10105490
;;;1;201;10105491
;;;1;202;10105492
;;;1;203;10105493
;;;1;204;10105494
;;;1;205;10105495
;;;1;206;10105496
;;;1;207;10105497
;;;1;208;10105498
;;;1;209;10105499
;;;1;210;10105500
;;;1;211;10105501
;;;1;212;10105502
;;;1;213;10105504
;;;1;214;10105506
;;;1;215;10105508
;;;1;216;10105510
;;;1;217;10105511
;;;1;218;10105512
;;;1;219;10105513
;;;1;220;10105514
