AttendanceTermIndicator;BeginDate;claseRecuperadaId;fileScanBase64;Code;DaysInSession;Designator;EndDate;numeroREX;fechaREX;FirstInstructionDate;InstructionalMinutes;LastInstructionDate;MarkingTermIndicator;OrganizationCalendarId;RecordEndDateTime;RecordStartDateTime;RefSessionTypeId;SchedulingTermIndicator;Description;MinutesPerDay;OrganizationCalendarSessionId;SessionEndTime;SessionStartTime
;2024-03-05;;;1;;;2024-06-18;;;;;;;500271;;;7;;1° periodo curso Pre-kinder;;1;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500271;;;7;;2° periodo curso Pre-kinder;;2;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500272;;;7;;1° periodo curso 4B;;3;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500272;;;7;;2° periodo curso 4B;;4;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500273;;;7;;1° periodo curso kinder;;5;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500273;;;7;;2° periodo curso kinder;;6;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500274;;;7;;1° periodo curso 5B;;7;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500274;;;7;;2° periodo curso 5B;;8;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500275;;;7;;1° periodo curso 1°A Básico;;9;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500275;;;7;;2° periodo curso 1°A Básico;;10;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500276;;;7;;1° periodo curso 1B;;11;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500276;;;7;;2° periodo curso 1B;;12;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500277;;;7;;1° periodo curso 2°A Básico;;13;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500277;;;7;;2° periodo curso 2°A Básico;;14;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500278;;;7;;1° periodo curso 2B;;15;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500278;;;7;;2° periodo curso 2B;;16;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500279;;;7;;1° periodo curso 3°A Básico;;17;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500279;;;7;;2° periodo curso 3°A Básico;;18;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500280;;;7;;1° periodo curso 3B;;19;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500280;;;7;;2° periodo curso 3B;;20;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500281;;;7;;1° periodo curso 4°A Básico;;21;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500281;;;7;;2° periodo curso 4°A Básico;;22;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500282;;;7;;1° periodo curso 4B;;23;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500282;;;7;;2° periodo curso 4B;;24;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500283;;;7;;1° periodo curso 5°A Básico;;25;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500283;;;7;;2° periodo curso 5°A Básico;;26;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500284;;;7;;1° periodo curso 6°A Básico;;27;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500284;;;7;;2° periodo curso 6°A Básico;;28;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500285;;;7;;1° periodo curso 6B;;29;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500285;;;7;;2° periodo curso 6B;;30;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500286;;;7;;1° periodo curso 7°A Básico;;31;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500286;;;7;;2° periodo curso 7°A Básico;;32;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500287;;;7;;1° periodo curso 7B;;33;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500287;;;7;;2° periodo curso 7B;;34;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500288;;;7;;1° periodo curso 8°A Básico;;35;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500288;;;7;;2° periodo curso 8°A Básico;;36;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500289;;;7;;1° periodo curso 8B;;37;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500289;;;7;;2° periodo curso 8B;;38;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500290;;;7;;1° periodo curso 1°A Enseñanza Media;;39;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500290;;;7;;2° periodo curso 1°A Enseñanza Media;;40;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500291;;;7;;1° periodo curso 1°B Enseñanza Media;;41;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500291;;;7;;2° periodo curso 1°B Enseñanza Media;;42;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500292;;;7;;1° periodo curso 2°A Enseñanza Media;;43;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500292;;;7;;2° periodo curso 2°A Enseñanza Media;;44;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500293;;;7;;1° periodo curso 2°B Enseñanza Media;;45;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500293;;;7;;2° periodo curso 2°B Enseñanza Media;;46;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500294;;;7;;1° periodo curso 3MA;;47;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500294;;;7;;2° periodo curso 3MA;;48;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500295;;;7;;1° periodo curso 3MB;;49;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500295;;;7;;2° periodo curso 3MB;;50;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500296;;;7;;1° periodo curso 4MA;;51;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500296;;;7;;2° periodo curso 4MA;;52;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500297;;;7;;1° periodo curso 4MB;;53;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500297;;;7;;2° periodo curso 4MB;;54;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500298;;;7;;1° periodo curso 3A;;55;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500298;;;7;;2° periodo curso 3A;;56;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500299;;;7;;1° periodo curso 3°B Dibujo Técnico;;57;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500299;;;7;;2° periodo curso 3°B Dibujo Técnico;;58;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500300;;;7;;1° periodo curso 4A;;59;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500300;;;7;;2° periodo curso 4A;;60;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500301;;;7;;1° periodo curso 4°B  Dibujo Técnico;;61;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500301;;;7;;2° periodo curso 4°B  Dibujo Técnico;;62;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500302;;;7;;1° periodo curso Egresado;;63;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500302;;;7;;2° periodo curso Egresado;;64;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500303;;;7;;1° periodo curso 3°A Gastronomía;;65;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500303;;;7;;2° periodo curso 3°A Gastronomía;;66;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500304;;;7;;1° periodo curso 3B;;67;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500304;;;7;;2° periodo curso 3B;;68;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500305;;;7;;1° periodo curso 4°A Gastronomía;;69;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500305;;;7;;2° periodo curso 4°A Gastronomía;;70;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500306;;;7;;1° periodo curso 4B;;71;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500306;;;7;;2° periodo curso 4B;;72;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;500307;;;7;;1° periodo curso Egresado;;73;;
;2024-07-08;;;2;;;2024-12-06;;;;;;;500307;;;7;;2° periodo curso Egresado;;74;;
1;2024-03-11;;;44636;;;2024-03-11;;;;;;;10044636;;;7;;clase fecha: 2024-03-11;;75;;
1;2024-03-15;;;44637;;;2024-03-15;;;;;;;10044637;;;7;;clase fecha: 2024-03-15;;76;;
1;2024-03-15;;;44638;;;2024-03-15;;;;;;;10044638;;;7;;clase fecha: 2024-03-15;;77;;
1;2024-03-05;;;44639;;;2024-03-05;;;;;;;10044639;;;7;;clase fecha: 2024-03-05;;78;;
1;2024-03-05;;;44640;;;2024-03-05;;;;;;;10044640;;;7;;clase fecha: 2024-03-05;;79;;
1;2024-03-05;;;44641;;;2024-03-05;;;;;;;10044641;;;7;;clase fecha: 2024-03-05;;80;;
1;2024-03-05;;;44642;;;2024-03-05;;;;;;;10044642;;;7;;clase fecha: 2024-03-05;;81;;
1;2024-03-05;;;44643;;;2024-03-05;;;;;;;10044643;;;7;;clase fecha: 2024-03-05;;82;;
