AvailableCarnegieUnitCredit;CoreAcademicCourse;CourseAlignedWithStandards;CourseDepartmentName;FamilyConsumerSciencesCourseInd;FundingProgram;HighSchoolCourseRequirement;RecordEndDateTime;RecordStartDateTime;RefAdditionalCreditTypeId;RefBlendedLearningModelTypeId;RefCareerClusterId;RefCourseGpaApplicabilityId;RefCourseInteractionModeId;RefCurriculumFrameworkTypeId;RefK12EndOfCourseRequirementId;RefSCEDCourseLevelId;RefSCEDCourseSubjectAreaId;RefWorkbasedLearningOpportunityTypeId;SCEDCourseCode;SCEDGradeSpan;OrganizationId;RefCreditTypeEarnedId
;;1;;0;;1;;;;;;;;2;;3;;;;;110;2
;;1;;0;;1;;;;;;;;2;;3;;;;;122;2
;;1;;0;;1;;;;;;;;2;;3;;;;;127;2
;;1;;0;;1;;;;;;;;2;;3;;;;;131;2
;;1;;0;;1;;;;;;;;2;;3;;;;;142;2
;;1;;0;;1;;;;;;;;2;;3;;;;;153;2
;;1;;0;;1;;;;;;;;2;;3;;;;;155;2
;;1;;0;;1;;;;;;;;2;;3;;;;;166;2
;;1;;0;;1;;;;;;;;2;;3;;;;;175;2
;;1;;0;;1;;;;;;;;2;;3;;;;;201;2
;;1;;0;;1;;;;;;;;2;;3;;;;;203;2
;;1;;0;;1;;;;;;;;2;;3;;;;;222;2
;;1;;0;;1;;;;;;;;2;;3;;;;;224;2
;;1;;0;;1;;;;;;;;2;;3;;;;;243;2
;;1;;0;;1;;;;;;;;2;;3;;;;;262;2
;;1;;0;;1;;;;;;;;2;;3;;;;;277;2
;;1;;0;;1;;;;;;;;2;;3;;;;;295;2
;;1;;0;;1;;;;;;;;2;;3;;;;;310;2
;;1;;0;;1;;;;;;;;2;;3;;;;;329;2
;;1;;0;;1;;;;;;;;2;;3;;;;;350;2
;;1;;0;;1;;;;;;;;2;;3;;;;;363;2
;;1;;0;;1;;;;;;;;2;;3;;;;;377;2
;;1;;0;;1;;;;;;;;2;;3;;;;;390;2
;;1;;0;;1;;;;;;;;2;;3;;;;;410;2
;;1;;0;;1;;;;;;;;2;;3;;;;;428;2
;;1;;0;;1;;;;;;;;2;;3;;;;;446;2
;;1;;0;;1;;;;;;;;2;;3;;;;;464;2
;;1;;0;;1;;;;;;;;2;;3;;;;;488;2
;;1;;0;;1;;;;;;;;2;;3;;;;;496;2
;;1;;0;;1;;;;;;;;2;;3;;;;;513;2
;;1;;0;;1;;;;;;;;2;;3;;;;;515;2
;;1;;0;;1;;;;;;;;2;;3;;;;;530;2
;;1;;0;;1;;;;;;;;2;;3;;;;;537;2
;;1;;0;;1;;;;;;;;2;;3;;;;;558;2
;;1;;0;;1;;;;;;;;2;;3;;;;;560;2
;;1;;0;;1;;;;;;;;2;;3;;;;;574;2
;;1;;0;;1;;;;;;;;2;;3;;;;;575;2
